wall_s,util_pct,mem_mb
0.04,0,4766
2.09,0,4778
4.13,0,4781
6.19,3,4773
8.23,0,4773
10.28,6,4773
12.33,0,4778
14.37,0,4778
16.42,0,4778
18.47,0,4769
20.52,0,4769
22.57,2,4769
24.61,0,5400
26.65,0,5400
28.69,0,5400
30.73,1,5400
32.77,1,5466
34.82,0,5466
36.86,0,5182
38.90,47,5182
40.94,45,5182
42.99,49,5182
45.03,46,5182
47.07,0,5214
49.11,30,5214
51.15,31,5214
53.20,34,5214
55.24,25,5214
57.28,28,5218
59.33,29,5222
61.37,25,5234
63.41,30,5234
65.46,36,5230
67.50,46,5230
69.54,44,5230
71.59,29,5230
73.63,25,5230
75.67,30,5230
77.72,25,5230
79.76,27,5230
81.80,25,5230
83.85,29,5230
85.89,46,5262
87.94,31,5262
89.98,46,5262
