N,K,M_max,strides,util_median_pct,util_max_pct,peak_mem_mb,per_stride_wall_s,wall_total_s,status
32,400,1952,5,39.0,60,5401,8.45,81.5,strides_ok
32,800,1952,5,40,64,5377,11.05,91.5,strides_ok
32,1600,1952,5,45.0,81,5691,13.80,105.6,strides_ok
64,400,3904,5,31.5,51,5463,10.05,85.5,strides_ok
64,800,3904,5,34,62,5507,12.50,95.5,strides_ok
64,1600,3904,5,44,82,5635,15.60,115.6,strides_ok
128,400,7808,5,30,49,5466,11.85,91.5,strides_ok
128,800,7808,5,48.5,57,5383,14.80,109.6,strides_ok
128,1600,7808,5,66,74,5716,19.30,131.7,strides_ok
256,400,15616,5,32.5,49,5474,15.05,109.6,strides_ok
256,800,15616,5,46.5,57,5662,18.55,129.7,strides_ok
256,1600,15616,5,65,72,6110,27.20,169.9,strides_ok
