t_days,A_mpc,A_base,cum_A_mpc,cum_A_base,F_mpc,B_mpc
0.0000,0.100384,0.100384,0.004183,0.004183,0.298235,0.050616
0.0417,0.101043,0.101043,0.008393,0.008393,0.296491,0.050820
0.0833,0.100170,0.100167,0.012567,0.012566,0.294769,0.051347
0.1250,0.098938,0.098933,0.016689,0.016689,0.292845,0.051029
0.1667,0.099040,0.099032,0.020816,0.020815,0.289468,0.051293
0.2083,0.097288,0.097276,0.024869,0.024868,0.285508,0.051243
0.2500,0.098347,0.098330,0.028967,0.028965,0.284680,0.051940
0.2917,0.098749,0.098727,0.033082,0.033079,0.284890,0.052799
0.3333,0.101159,0.101130,0.037297,0.037293,0.282486,0.052390
0.3750,0.101207,0.101171,0.041514,0.041508,0.281172,0.052146
0.4167,0.101925,0.101881,0.045760,0.045753,0.281829,0.052145
0.4583,0.102777,0.102723,0.050043,0.050033,0.280255,0.052268
0.5000,0.098388,0.098326,0.054142,0.054130,0.279427,0.052174
0.5417,0.099753,0.099681,0.058299,0.058284,0.276935,0.051928
0.5833,0.100585,0.100502,0.062490,0.062471,0.277133,0.051962
0.6250,0.100809,0.100714,0.066690,0.066668,0.277425,0.051853
0.6667,0.098625,0.098518,0.070799,0.070772,0.275077,0.052779
0.7083,0.099219,0.099099,0.074934,0.074902,0.275328,0.052940
0.7500,0.100209,0.100075,0.079109,0.079071,0.274026,0.052932
0.7917,0.100018,0.099869,0.083276,0.083233,0.272959,0.052372
0.8333,0.101940,0.101775,0.087524,0.087473,0.272442,0.053539
0.8750,0.098301,0.098123,0.091620,0.091562,0.271591,0.052970
0.9167,0.100114,0.099917,0.095791,0.095725,0.269193,0.052832
0.9583,0.100751,0.100536,0.099989,0.099914,0.268438,0.053857
1.0000,0.101846,0.101612,0.104233,0.104148,0.268205,0.054598
1.0417,0.100743,0.100492,0.108430,0.108335,0.268705,0.055337
1.0833,0.098766,0.098498,0.112546,0.112439,0.265871,0.055116
1.1250,0.098288,0.098001,0.116641,0.116522,0.262805,0.055064
1.1667,0.098205,0.097898,0.120733,0.120601,0.261631,0.055609
1.2083,0.096994,0.096669,0.124774,0.124629,0.259276,0.055713
1.2500,0.098032,0.097685,0.128859,0.128700,0.256845,0.056924
1.2917,0.098407,0.098039,0.132959,0.132785,0.254351,0.056889
1.3333,0.099045,0.098654,0.137086,0.136895,0.251100,0.057446
1.3750,0.098372,0.097962,0.141185,0.140977,0.250434,0.057722
1.4167,0.096842,0.096413,0.145220,0.144994,0.246490,0.058612
1.4583,0.097358,0.096907,0.149277,0.149032,0.245484,0.059397
1.5000,0.097634,0.097160,0.153345,0.153080,0.243200,0.060142
1.5417,0.097762,0.097265,0.157418,0.157133,0.239659,0.059513
1.5833,0.097059,0.096542,0.161462,0.161155,0.239865,0.059765
1.6250,0.099041,0.098496,0.165589,0.165259,0.238745,0.059685
1.6667,0.098274,0.097707,0.169684,0.169331,0.237612,0.060231
1.7083,0.097825,0.097236,0.173760,0.173382,0.238040,0.060374
1.7500,0.096884,0.096272,0.177796,0.177393,0.235231,0.061166
1.7917,0.097313,0.096676,0.181851,0.181422,0.233279,0.061237
1.8333,0.096725,0.096065,0.185881,0.185424,0.230073,0.061020
1.8750,0.093897,0.093222,0.189794,0.189309,0.228588,0.060932
1.9167,0.094033,0.093333,0.193712,0.193197,0.228304,0.060481
