t_days,A_mpc,A_base,cum_A_mpc,cum_A_base,F_mpc,B_mpc
0.0000,0.100384,0.100384,0.004183,0.004183,0.299180,0.051009
0.0417,0.101043,0.101043,0.008393,0.008393,0.298380,0.051609
0.0833,0.100167,0.100167,0.012566,0.012566,0.297603,0.052537
0.1250,0.098933,0.098933,0.016689,0.016689,0.296621,0.052614
0.1667,0.099032,0.099032,0.020815,0.020815,0.294177,0.053282
0.2083,0.097276,0.097276,0.024868,0.024868,0.291141,0.053632
0.2500,0.098330,0.098330,0.028965,0.028965,0.291263,0.054747
0.2917,0.098727,0.098727,0.033079,0.033079,0.292435,0.056033
0.3333,0.101130,0.101130,0.037293,0.037293,0.290960,0.056020
0.3750,0.101171,0.101171,0.041508,0.041508,0.290589,0.056176
0.4167,0.101881,0.101881,0.045753,0.045753,0.292220,0.056584
0.4583,0.102723,0.102723,0.050033,0.050033,0.291582,0.057123
0.5000,0.098326,0.098326,0.054130,0.054130,0.291702,0.057439
0.5417,0.099681,0.099681,0.058284,0.058284,0.290122,0.057594
0.5833,0.100502,0.100502,0.062471,0.062471,0.291291,0.058044
0.6250,0.100714,0.100714,0.066668,0.066668,0.292558,0.058345
0.6667,0.098518,0.098518,0.070772,0.070772,0.291114,0.059741
0.7083,0.099099,0.099099,0.074902,0.074902,0.292340,0.060330
0.7500,0.100075,0.100075,0.079071,0.079071,0.291966,0.060740
0.7917,0.099869,0.099869,0.083233,0.083233,0.291832,0.060563
0.8333,0.101775,0.101775,0.087473,0.087473,0.292265,0.062233
0.8750,0.098123,0.098123,0.091562,0.091562,0.292351,0.062044
0.9167,0.099917,0.099917,0.095725,0.095725,0.290829,0.062317
0.9583,0.100536,0.100536,0.099914,0.099914,0.291011,0.063848
1.0000,0.101612,0.101612,0.104148,0.104148,0.291734,0.065075
1.0417,0.100492,0.100492,0.108335,0.108335,0.293220,0.066302
1.0833,0.098498,0.098498,0.112439,0.112439,0.291224,0.066487
1.1250,0.098001,0.098001,0.116522,0.116522,0.288979,0.066856
1.1667,0.097898,0.097898,0.120601,0.120601,0.288710,0.067879
1.2083,0.096669,0.096669,0.124629,0.124629,0.287198,0.068420
1.2500,0.097685,0.097685,0.128700,0.128700,0.285601,0.070180
1.2917,0.098039,0.098039,0.132785,0.132785,0.283931,0.070569
1.3333,0.098654,0.098654,0.136895,0.136895,0.281455,0.071614
1.3750,0.097962,0.097962,0.140977,0.140977,0.281707,0.072348
1.4167,0.096413,0.096413,0.144994,0.144994,0.278481,0.073765
1.4583,0.096907,0.096907,0.149032,0.149032,0.278367,0.075068
1.5000,0.097160,0.097160,0.153080,0.153080,0.275936,0.075932
1.5417,0.097266,0.097265,0.157133,0.157133,0.272161,0.075264
1.5833,0.096544,0.096542,0.161156,0.161155,0.272374,0.075575
1.6250,0.098500,0.098496,0.165260,0.165259,0.271168,0.075514
1.6667,0.097715,0.097707,0.169331,0.169331,0.269945,0.076149
1.7083,0.097247,0.097236,0.173383,0.173382,0.270382,0.076333
1.7500,0.096288,0.096272,0.177395,0.177393,0.267367,0.077238
1.7917,0.096697,0.096676,0.181424,0.181422,0.265259,0.077339
1.8333,0.096091,0.096065,0.185428,0.185424,0.261810,0.077117
1.8750,0.093254,0.093222,0.189314,0.189309,0.260193,0.077037
1.9167,0.093372,0.093333,0.193204,0.193197,0.259855,0.076552
1.9583,0.093540,0.093493,0.197102,0.197093,0.256834,0.077151
2.0000,0.094590,0.094536,0.201043,0.201032,0.255090,0.077423
2.0417,0.095125,0.095061,0.205006,0.204993,0.252021,0.077036
2.0833,0.095452,0.095379,0.208984,0.208967,0.252965,0.078064
2.1250,0.096093,0.096010,0.212987,0.212967,0.251452,0.076683
2.1667,0.096660,0.096566,0.217015,0.216991,0.252003,0.076770
2.2083,0.096089,0.095984,0.221019,0.220990,0.246273,0.075916
2.2500,0.093188,0.093073,0.224901,0.224868,0.246724,0.075562
2.2917,0.093567,0.093439,0.228800,0.228762,0.243915,0.075881
2.3333,0.094744,0.094603,0.232748,0.232703,0.243075,0.076467
2.3750,0.093123,0.092970,0.236628,0.236577,0.242182,0.076387
2.4167,0.093995,0.093828,0.240544,0.240487,0.239767,0.076334
2.4583,0.095974,0.095790,0.244543,0.244478,0.238136,0.076286
2.5000,0.095794,0.095596,0.248535,0.248461,0.235902,0.075631
2.5417,0.095412,0.095200,0.252510,0.252428,0.235324,0.076470
2.5833,0.095673,0.095444,0.256497,0.256405,0.236731,0.077081
2.6250,0.095243,0.094999,0.260465,0.260363,0.237246,0.077269
2.6667,0.097626,0.097362,0.264533,0.264420,0.236328,0.077123
2.7083,0.096863,0.096582,0.268569,0.268444,0.235590,0.076830
2.7500,0.098596,0.098295,0.272677,0.272539,0.233691,0.076612
2.7917,0.097093,0.096775,0.276722,0.276572,0.232649,0.076572
2.8333,0.096498,0.096162,0.280743,0.280579,0.230613,0.076367
2.8750,0.095867,0.095513,0.284738,0.284558,0.229957,0.075211
2.9167,0.096268,0.095894,0.288749,0.288554,0.229853,0.075613
2.9583,0.093756,0.093367,0.292655,0.292444,0.226620,0.075928
3.0000,0.094324,0.093913,0.296586,0.296357,0.226435,0.075502
3.0417,0.095524,0.095091,0.300566,0.300319,0.225839,0.075503
3.0833,0.092475,0.092028,0.304419,0.304154,0.225937,0.075408
3.1250,0.091976,0.091508,0.308251,0.307967,0.222908,0.075361
3.1667,0.093687,0.093195,0.312155,0.311850,0.220905,0.075605
3.2083,0.092955,0.092443,0.316028,0.315702,0.220664,0.074824
3.2500,0.093255,0.092721,0.319914,0.319565,0.220557,0.075178
3.2917,0.095814,0.095250,0.323906,0.323534,0.219463,0.074641
3.3333,0.095588,0.095001,0.327889,0.327492,0.219305,0.074883
3.3750,0.094156,0.093550,0.331812,0.331390,0.218951,0.075005
3.4167,0.095324,0.094690,0.335784,0.335335,0.218208,0.074284
3.4583,0.096441,0.095779,0.339802,0.339326,0.215173,0.074195
3.5000,0.094053,0.093375,0.343721,0.343217,0.212639,0.075040
3.5417,0.093201,0.092502,0.347604,0.347071,0.212463,0.075792
3.5833,0.093532,0.092807,0.351501,0.350938,0.213604,0.075236
3.6250,0.092417,0.091672,0.355352,0.354758,0.214360,0.075660
3.6667,0.092005,0.091236,0.359186,0.358559,0.213237,0.076309
3.7083,0.090606,0.089817,0.362961,0.362302,0.210259,0.076733
3.7500,0.090956,0.090142,0.366751,0.366057,0.208434,0.076233
3.7917,0.090307,0.089471,0.370514,0.369785,0.208364,0.076404
3.8333,0.089458,0.088601,0.374241,0.373477,0.208046,0.076630
3.8750,0.089214,0.088333,0.377958,0.377158,0.207150,0.077041
3.9167,0.087713,0.086814,0.381613,0.380775,0.207409,0.077382
3.9583,0.089286,0.088355,0.385333,0.384456,0.207282,0.077257
4.0000,0.087738,0.086788,0.388989,0.388073,0.206276,0.076626
4.0417,0.085422,0.084460,0.392548,0.391592,0.204743,0.076150
4.0833,0.084392,0.083410,0.396065,0.395067,0.204919,0.076094
4.1250,0.084171,0.083165,0.399572,0.398532,0.205516,0.076380
4.1667,0.083703,0.082674,0.403059,0.401977,0.203335,0.077558
