timestamp,gpu_util_percent,memory_used_mib,power_w
2026/05/09 02:57:20.824,1,5006,34.92
2026/05/09 02:57:21.859,2,5006,34.19
2026/05/09 02:57:22.896,2,5006,32.76
2026/05/09 02:57:23.933,2,5006,33.60
2026/05/09 02:57:24.970,2,5008,31.66
2026/05/09 02:57:26.007,2,5008,31.14
2026/05/09 02:57:27.042,2,5008,30.50
2026/05/09 02:57:28.076,2,5008,29.83
2026/05/09 02:57:29.111,2,5008,29.61
2026/05/09 02:57:30.149,2,5008,29.29
2026/05/09 02:57:31.185,2,5008,29.39
2026/05/09 02:57:32.221,2,5008,29.22
2026/05/09 02:57:33.257,2,5008,28.90
2026/05/09 02:57:34.294,2,5008,28.51
2026/05/09 02:57:35.327,2,5008,28.38
2026/05/09 02:57:36.361,2,5008,28.38
2026/05/09 02:57:37.394,2,5008,28.33
2026/05/09 02:57:38.428,2,5008,27.94
2026/05/09 02:57:39.461,2,5008,27.74
2026/05/09 02:57:40.494,2,5008,27.58
2026/05/09 02:57:41.529,2,5008,27.84
2026/05/09 02:57:42.565,2,5008,27.77
2026/05/09 02:57:43.601,2,5008,27.75
2026/05/09 02:57:44.637,2,5008,27.82
2026/05/09 02:57:45.675,2,5008,28.26
2026/05/09 02:57:46.712,2,5008,27.89
2026/05/09 02:57:47.748,2,5008,27.15
2026/05/09 02:57:48.782,0,5896,39.99
2026/05/09 02:57:49.813,0,5896,63.78
2026/05/09 02:57:50.842,0,5896,63.64
2026/05/09 02:57:51.872,0,5896,63.51
2026/05/09 02:57:52.901,0,5896,63.78
2026/05/09 02:57:53.930,0,5896,63.88
2026/05/09 02:57:54.961,0,5896,63.31
2026/05/09 02:57:55.992,0,5896,63.66
2026/05/09 02:57:57.022,0,5896,63.55
2026/05/09 02:57:58.052,0,5896,63.67
2026/05/09 02:57:59.082,0,5896,63.60
2026/05/09 02:58:00.113,0,5962,64.03
2026/05/09 02:58:01.144,0,5962,64.09
2026/05/09 02:58:02.175,0,5962,63.86
2026/05/09 02:58:03.205,0,5962,63.77
2026/05/09 02:58:04.237,0,5962,63.54
2026/05/09 02:58:05.270,49,5994,75.93
2026/05/09 02:58:06.302,63,5994,220.64
2026/05/09 02:58:07.332,0,5994,134.99
2026/05/09 02:58:08.363,76,5994,110.22
2026/05/09 02:58:09.394,77,5994,154.82
2026/05/09 02:58:10.423,74,5994,529.53
2026/05/09 02:58:11.453,75,5994,558.79
2026/05/09 02:58:12.483,84,5994,559.78
2026/05/09 02:58:13.513,77,5994,558.92
2026/05/09 02:58:14.543,76,5994,560.88
2026/05/09 02:58:15.573,83,5994,560.43
2026/05/09 02:58:16.603,75,5994,557.79
2026/05/09 02:58:17.633,84,5994,561.93
2026/05/09 02:58:18.663,75,5994,559.73
2026/05/09 02:58:19.693,83,5994,562.42
2026/05/09 02:58:20.723,71,5994,234.05
2026/05/09 02:58:21.753,75,5994,332.05
2026/05/09 02:58:22.784,74,5994,553.69
