step_size,leapfrog,h_fd,n_chains,n_acc,accept_pct,mean_logα,p05_logα,p50_logα,p95_logα,mean_Δll
0.001,1,0.01,128,94,73.4375,-0.130504,-2.46056,-0.0918386,1.81959,-0.0927767
0.001,1,0.001,128,83,64.8438,-0.754405,-3.2769,-0.319433,1.83977,0.106992
0.001,1,0.0001,128,55,42.9688,-18.0346,-77.4546,-1.7139,1.16787,-0.00756808
0.001,4,0.01,128,95,74.2188,-0.118924,-2.3724,-0.0988195,2.19273,0.185279
0.001,4,0.001,128,42,32.8125,-5.98854,-21.0534,-2.23212,1.48331,0.0881064
0.001,4,0.0001,128,15,11.7188,-135.999,-581.578,-27.5629,-0.0927227,-0.0254388
0.001,16,0.01,128,80,62.5000,-0.677665,-4.18297,-0.328612,2.01364,0.552104
0.001,16,0.001,128,10,7.8125,-21.8411,-90.8923,-10.906,-0.589147,-0.0964585
0.001,16,0.0001,128,1,0.7812,-735.289,-2492.5,-240.433,-20.66,-1.78042
0.005,1,0.01,128,75,58.5938,-0.724659,-3.9395,-0.482646,1.97398,0.151726
0.005,1,0.001,128,20,15.6250,-20.163,-66.3288,-7.55237,0.668813,0.162781
0.005,1,0.0001,128,27,21.0938,-697.716,-3701.92,-69.1165,1.47581,-1.05192
0.005,4,0.01,128,47,36.7188,-4.645,-14.1368,-1.59427,1.29734,0.663382
0.005,4,0.001,128,0,0.0000,-154.063,-515.025,-66.2047,-10.188,-2.32803
0.005,4,0.0001,128,2,1.5625,-3751.92,-17205.9,-802.515,-9.10393,-188.096
0.005,16,0.01,128,27,21.0938,-12.9195,-41.5864,-4.98237,0.491723,2.5871
0.005,16,0.001,128,0,0.0000,-810.006,-3190.91,-297.592,-49.0128,-39.4994
0.005,16,0.0001,128,0,0.0000,-3.81038e+09,-1e+06,-4256.83,-358.841,-10934.3
0.01,1,0.01,128,64,50.0000,-2.07956,-7.34164,-0.819917,2.19896,0.267408
0.01,1,0.001,128,8,6.2500,-83.606,-263.793,-28.4626,-0.977964,-0.688434
0.01,1,0.0001,128,17,13.2812,-2059.96,-7384.71,-173.58,0.465909,-21.0621
0.01,4,0.01,128,22,17.1875,-11.6376,-40.0913,-6.11955,0.987321,0.909664
