stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi,A_mean_so_far,B_end,F_end,A_end
1,0.19721102714538574,0,0,1.0,0.09762438202962109,0.05548917838471154,0.2959598949425707,0.09490694569916792
2,34.641944885253906,5,6,1.0,0.09503506122119791,0.05931131404419524,0.29175707404930723,0.0914359674741382
3,13.965979099273682,5,0,2.5999877,0.09280917215035711,0.07280499750424457,0.3097620617397202,0.08542589400479977
4,29.156741857528687,5,6,2.6877835,0.09062901613649725,0.0912596694670554,0.31838270838717436,0.0840291043475359
5,15.2897310256958,5,0,2.6232624,0.089241907547471,0.10656465810680037,0.3382586056075871,0.0833013783239986
6,26.16693902015686,5,6,2.7112868,0.08762458239976914,0.1212826361508171,0.35285747404413315,0.07704597450233328
7,15.366365909576416,5,0,2.6374896,0.08615754115546517,0.1354232782266745,0.3660376194675613,0.0795401468347294
8,27.179609060287476,5,6,2.7206562,0.084888679193525,0.15252816502147584,0.376046923328976,0.07256353447075559
9,15.377985954284668,5,0,2.6466846,0.08329963801435415,0.16663878801868798,0.3843183862625099,0.07232380136205381
10,24.62246584892273,5,6,2.727103,0.08214483848943342,0.18510474412290964,0.40149983871315076,0.0732466482601059
11,15.240331888198853,5,0,2.6161985,0.08107061327089335,0.19534972077215199,0.4116515407457305,0.06960654156772333
12,28.019145011901855,5,6,2.703576,0.0796866230806515,0.2113688847483011,0.42348828050801024,0.06066405737038373
13,12.676728010177612,5,0,2.6346023,0.07799638321984424,0.22489764344457444,0.43436607360632623,0.057015190672537665
14,31.008162021636963,5,6,2.7183444,0.07639464251179218,0.23649930339158817,0.4449705197369403,0.0525972923469459
15,16.405205011367798,5,0,2.606254,0.07472629938933419,0.2485810178897345,0.4517283483033237,0.05231126825885566
16,29.70629119873047,5,6,2.694126,0.07337804988091211,0.2633863731430958,0.4564084363278859,0.052738857450354566
17,13.836091995239258,5,0,2.6376352,0.07219029438566449,0.27767508231448257,0.4649936539235679,0.05176664002119856
18,26.488731861114502,5,6,2.7206001,0.07122422065610921,0.2914598321297938,0.476001732814784,0.05892961790739708
19,12.366904973983765,5,0,2.615386,0.07052637338829865,0.30555984021971755,0.4776258380036135,0.058805459601520615
20,30.521631002426147,5,6,2.7002285,0.06979276082278667,0.3184650235613785,0.4846630417530844,0.05393398133979448
21,14.982465982437134,5,0,2.6485083,0.06879482997921003,0.33023231272906667,0.4900184073524991,0.046156906582809624
22,31.704998016357422,5,6,2.728956,0.06773135884429073,0.34110644058932116,0.49173127166233904,0.04626969046439616
23,13.720407962799072,5,0,2.6652155,0.06679409484277472,0.3541368672847616,0.49617143551578347,0.048022409091739646
24,28.188952922821045,5,6,2.7447383,0.06604596837955962,0.36547067282372653,0.5000566695787227,0.05145734442171921
25,10.509887933731079,5,0,2.6177478,0.06537471078811591,0.37479235837278124,0.49023013037021557,0.04952803337885533
26,28.7081880569458,5,6,2.7056372,0.06472668681125762,0.38794774733348303,0.49636163997322574,0.0473981030058606
27,15.922086954116821,5,0,2.6964629,0.06420691733921582,0.40165535982131517,0.504168321950214,0.05220869474126092
28,28.690979957580566,5,6,2.767046,0.06369132990914207,0.4120468954356961,0.5173647803819721,0.0476748708706366
29,12.558535814285278,5,0,2.5314791,0.06318371089036949,0.4238219921941568,0.5245620929061011,0.049664816338927054
30,28.354678869247437,5,6,2.6303647,0.06265827318629943,0.43712526365115867,0.5226762153320477,0.04465684448343894
31,13.8384268283844,5,0,2.617998,0.06210405431378931,0.4476115964707842,0.5252394721172465,0.047310093268876564
32,29.58675789833069,5,6,2.7028296,0.061583033000723625,0.4565538087927003,0.5190987951133252,0.04574986861689442
33,12.379748106002808,5,0,2.6310055,0.061098251989176976,0.46844566339604277,0.5261379188920385,0.04702131465032769
34,27.58609914779663,5,6,2.7161763,0.060702448803646475,0.48089772710172835,0.5259289893716148,0.04861648115503269
35,13.69980502128601,5,0,2.557582,0.06036765220725662,0.49145081387273565,0.5299199739217093,0.04883713128696543
36,29.773705005645752,5,6,2.6502635,0.06002250839323147,0.5019682110008705,0.5356142323836843,0.04688225220756557
37,16.525171995162964,5,0,2.5029259,0.05969027896882833,0.5159781597643995,0.5328488238714207,0.04829859110312249
38,28.126490116119385,5,6,2.6031024,0.05945819271684194,0.5267238075494654,0.5264118206370387,0.05319783011637257
39,13.753006935119629,5,0,2.5533834,0.05935254167647701,0.5384014557698001,0.5340265864439968,0.053975124533948024
40,27.069461822509766,5,6,2.648448,0.05921170235932694,0.5453271250870712,0.5372802054939025,0.05389093495679093
41,15.193902015686035,5,0,2.5780132,0.05909761431728915,0.5510855932411737,0.5292160398882345,0.05562930277666668
42,31.04276204109192,5,6,2.6673982,0.05903053928496923,0.5635509672126385,0.5322608268395411,0.0578999839741642
43,15.297412157058716,5,0,2.5966613,0.05904543841918578,0.5744974861037834,0.526608215571052,0.060064049417095006
44,27.367107152938843,5,6,2.687374,0.05905965672055954,0.5818382892526677,0.5354157681527638,0.059656544907798426
