timestamp,gpu_util_percent,memory_used_mib,power_w
2026/05/09 15:27:57.250,7,4674,42.55
2026/05/09 15:27:58.292,7,4674,40.69
2026/05/09 15:27:59.333,9,4673,41.70
2026/05/09 15:28:00.372,3,4674,46.92
2026/05/09 15:28:01.416,6,4676,45.07
2026/05/09 15:28:02.467,8,4660,41.42
2026/05/09 15:28:03.515,7,4660,41.39
2026/05/09 15:28:04.565,7,4673,41.33
2026/05/09 15:28:05.615,10,4730,40.82
2026/05/09 15:28:06.665,6,4748,48.62
2026/05/09 15:28:07.719,2,4776,55.26
2026/05/09 15:28:08.756,1,4767,48.68
2026/05/09 15:28:09.799,2,4765,38.27
2026/05/09 15:28:10.839,6,4753,36.69
2026/05/09 15:28:11.886,8,4674,38.08
2026/05/09 15:28:12.928,2,4729,52.23
2026/05/09 15:28:13.969,1,4739,51.06
2026/05/09 15:28:15.002,3,4746,41.15
2026/05/09 15:28:16.040,2,4746,37.09
2026/05/09 15:28:17.082,7,4735,36.67
2026/05/09 15:28:18.132,6,4693,38.12
2026/05/09 15:28:19.187,7,4674,38.95
2026/05/09 15:28:20.235,8,4672,37.65
2026/05/09 15:28:21.285,6,4673,38.57
2026/05/09 15:28:22.336,7,4674,39.65
2026/05/09 15:28:23.384,2,4732,45.43
2026/05/09 15:28:24.428,13,4769,52.85
2026/05/09 15:28:25.468,1,5656,53.22
2026/05/09 15:28:26.499,1,5653,70.51
2026/05/09 15:28:27.531,1,5656,69.73
2026/05/09 15:28:28.562,1,5656,67.63
2026/05/09 15:28:29.592,1,5603,67.65
2026/05/09 15:28:30.624,1,5599,67.64
2026/05/09 15:28:31.655,0,5579,67.40
2026/05/09 15:28:32.686,1,5560,67.55
2026/05/09 15:28:33.717,2,5560,68.79
2026/05/09 15:28:34.748,1,5552,68.20
2026/05/09 15:28:35.778,1,5548,67.34
2026/05/09 15:28:36.809,0,5610,67.26
2026/05/09 15:28:37.841,0,5610,67.39
2026/05/09 15:28:38.873,1,5610,68.44
2026/05/09 15:28:39.904,1,5610,67.75
2026/05/09 15:28:40.935,1,5610,67.15
2026/05/09 15:28:41.967,1,5610,67.13
2026/05/09 15:28:43.000,61,5642,110.83
2026/05/09 15:28:44.033,65,5642,251.27
2026/05/09 15:28:45.066,61,5642,256.58
2026/05/09 15:28:46.099,1,5642,208.76
2026/05/09 15:28:47.133,63,5642,159.85
2026/05/09 15:28:48.166,66,5647,257.76
2026/05/09 15:28:49.199,63,5646,259.29
2026/05/09 15:28:50.232,64,5646,195.86
2026/05/09 15:28:51.265,63,5646,268.02
2026/05/09 15:28:52.298,63,5646,214.81
2026/05/09 15:28:53.330,65,5646,221.02
2026/05/09 15:28:54.362,67,5646,216.59
2026/05/09 15:28:55.394,1,5646,201.64
2026/05/09 15:28:56.426,0,5642,94.40
2026/05/09 15:28:57.458,67,5642,138.20
2026/05/09 15:28:58.490,66,5642,411.39
2026/05/09 15:28:59.522,64,5661,455.10
2026/05/09 15:29:00.556,70,5701,204.53
2026/05/09 15:29:01.590,66,5700,447.11
2026/05/09 15:29:02.622,66,5700,447.85
2026/05/09 15:29:03.656,68,5695,204.99
2026/05/09 15:29:04.689,64,5682,447.11
2026/05/09 15:29:05.722,62,5682,452.71
2026/05/09 15:29:06.754,65,5682,203.27
2026/05/09 15:29:07.785,65,5649,445.93
2026/05/09 15:29:08.818,69,5649,341.58
2026/05/09 15:29:09.851,62,5682,278.76
2026/05/09 15:29:10.884,60,5611,439.15
2026/05/09 15:29:11.916,73,5678,351.19
2026/05/09 15:29:12.948,65,5671,261.48
2026/05/09 15:29:13.981,64,5669,453.90
2026/05/09 15:29:15.015,2,5721,354.39
2026/05/09 15:29:16.047,69,5749,106.65
2026/05/09 15:29:17.079,67,5710,209.36
2026/05/09 15:29:18.113,68,5710,270.56
2026/05/09 15:29:19.145,65,5712,271.58
2026/05/09 15:29:20.178,68,5701,196.15
2026/05/09 15:29:21.211,65,5687,272.56
2026/05/09 15:29:22.243,64,5687,272.26
2026/05/09 15:29:23.274,61,5683,185.74
2026/05/09 15:29:24.308,62,5691,266.21
