timestamp,gpu_util_percent,memory_used_mib,power_w
2026/05/09 17:10:08.456,7,4366,31.85
2026/05/09 17:10:09.503,6,4354,30.67
2026/05/09 17:10:10.543,5,4353,30.52
2026/05/09 17:10:11.577,1,4353,39.66
2026/05/09 17:10:12.616,1,4356,42.29
2026/05/09 17:10:13.664,3,4352,30.17
2026/05/09 17:10:14.712,6,4352,30.39
2026/05/09 17:10:15.757,8,4373,34.18
2026/05/09 17:10:16.803,6,4374,32.47
2026/05/09 17:10:17.847,6,4372,31.17
2026/05/09 17:10:18.899,6,4372,30.66
2026/05/09 17:10:19.945,6,4372,33.12
2026/05/09 17:10:20.992,6,4373,30.93
2026/05/09 17:10:22.039,6,4373,32.58
2026/05/09 17:10:23.078,1,4412,42.25
2026/05/09 17:10:24.110,1,4401,37.28
2026/05/09 17:10:25.144,1,4398,34.21
2026/05/09 17:10:26.184,3,4397,30.90
2026/05/09 17:10:27.222,3,4372,29.45
2026/05/09 17:10:28.261,2,4366,34.34
2026/05/09 17:10:29.312,4,4491,39.72
2026/05/09 17:10:30.362,11,4488,38.56
2026/05/09 17:10:31.412,6,4487,37.12
2026/05/09 17:10:32.467,14,4403,35.64
2026/05/09 17:10:33.505,1,4403,42.78
2026/05/09 17:10:34.543,4,4402,32.83
2026/05/09 17:10:35.583,4,4427,30.94
2026/05/09 17:10:36.618,0,5313,38.89
2026/05/09 17:10:37.649,1,5301,59.90
2026/05/09 17:10:38.680,0,5301,59.41
2026/05/09 17:10:39.710,0,5306,59.41
2026/05/09 17:10:40.741,1,5273,59.74
2026/05/09 17:10:41.772,1,5273,60.14
2026/05/09 17:10:42.803,1,5272,60.23
2026/05/09 17:10:43.835,1,5272,60.77
2026/05/09 17:10:44.867,0,5272,60.49
2026/05/09 17:10:45.898,1,5272,60.17
2026/05/09 17:10:46.928,1,5272,60.44
2026/05/09 17:10:47.959,1,5355,61.71
2026/05/09 17:10:48.990,1,5351,60.76
2026/05/09 17:10:50.022,2,5376,62.54
2026/05/09 17:10:51.054,2,5380,61.94
2026/05/09 17:10:52.086,1,5388,61.20
2026/05/09 17:10:53.118,1,5388,63.03
2026/05/09 17:10:54.149,70,5420,81.65
2026/05/09 17:10:55.181,58,5416,233.22
2026/05/09 17:10:56.215,61,5413,253.47
2026/05/09 17:10:57.248,1,5408,222.12
2026/05/09 17:10:58.280,59,5410,207.26
2026/05/09 17:10:59.314,64,5409,247.68
2026/05/09 17:11:00.346,56,5392,246.78
2026/05/09 17:11:01.377,65,5388,177.89
2026/05/09 17:11:02.410,56,5388,240.09
2026/05/09 17:11:03.441,65,5372,176.38
2026/05/09 17:11:04.475,68,5372,238.10
2026/05/09 17:11:05.508,68,5415,195.22
2026/05/09 17:11:06.541,1,5419,223.71
2026/05/09 17:11:07.573,3,5435,85.96
2026/05/09 17:11:08.604,51,5441,178.59
2026/05/09 17:11:09.638,49,5470,337.53
2026/05/09 17:11:10.671,47,5487,338.68
2026/05/09 17:11:11.705,48,5514,338.90
2026/05/09 17:11:12.739,49,5532,338.80
2026/05/09 17:11:13.773,49,5536,337.18
2026/05/09 17:11:14.808,45,5536,342.21
2026/05/09 17:11:15.841,48,5523,342.16
2026/05/09 17:11:16.874,51,5523,340.74
2026/05/09 17:11:17.908,52,5511,343.59
2026/05/09 17:11:18.953,49,5548,351.68
2026/05/09 17:11:19.998,59,5549,282.41
2026/05/09 17:11:21.029,43,5527,292.90
2026/05/09 17:11:22.060,43,5584,315.14
2026/05/09 17:11:23.093,41,5579,315.25
2026/05/09 17:11:24.125,44,5578,316.73
