stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi,A_mean_so_far,B_end,F_end,A_end
1,0.22806811332702637,0,0,1.0,0.09762438202962109,0.05548917838471154,0.2959598949425707,0.09490694569916792
2,236.74178194999695,5,20,1.0,0.09503506122119791,0.05931131404419524,0.29175707404930723,0.0914359674741382
3,15.116798162460327,5,0,0.08362085,0.09282765943864318,0.057340779916412246,0.27327252511221817,0.08557687695130019
4,222.8422248363495,5,20,0.052195597,0.0907342540776273,0.059387839056473705,0.24708208892456515,0.08461644951394738
5,13.746711015701294,5,0,0.10737219,0.08951461134951053,0.05947196141662357,0.23506393816571264,0.08458194969030475
6,235.66317105293274,5,20,0.06817524,0.08813858982715453,0.058587116427797716,0.2189186099681771,0.07916360544087644
7,15.168441772460938,5,0,0.14216745,0.08698128469306414,0.05832909424037423,0.20557297955159567,0.0827664685610682
8,244.67595791816711,5,20,0.090940915,0.08608460664799432,0.05954479099338698,0.18994220040112228,0.07683352604475285
9,16.51099395751953,5,0,0.27784482,0.08490444737274067,0.06032300584871189,0.1782476892307773,0.07783721015674767
10,251.76859498023987,5,20,0.19606745,0.08421184118797415,0.06317316708825761,0.17189845226482875,0.08018857632086529
11,15.362935066223145,5,0,1.3707757,0.08364052159021258,0.06857103040995881,0.18021180053832483,0.0778406020022518
12,233.9648790359497,5,20,1.285153,0.0827669715059007,0.07679081716518217,0.18739378993426437,0.06974108132326479
13,13.864808082580566,5,0,0.09825606,0.08157670404171535,0.07643202434405981,0.17735027759972485,0.06716227441837011
14,246.05411887168884,5,20,0.060536582,0.08048919439582802,0.07442930982045547,0.16697044130248684,0.06375246207218463
15,16.738394021987915,5,0,0.19734879,0.07933399659911518,0.07413961790544986,0.158351737542529,0.06485985367043433
16,244.55648493766785,5,20,0.1334186,0.07853865467912524,0.07486903701605928,0.14771978346732934,0.06683028769077883
17,14.997064113616943,5,0,0.6344536,0.07792912707165718,0.07866655991840497,0.1480144454457544,0.06728414956115301
18,215.6029028892517,5,20,0.49759126,0.07757886450142026,0.08107356064169503,0.1473067711170622,0.07712921197012411
19,14.779731035232544,5,0,0.16145502,0.0775483570398177,0.08204854923860491,0.13784583306274273,0.07879472972810371
20,237.2813560962677,5,20,0.10299585,0.0774877142880292,0.08172594128710711,0.1305158073406886,0.0749018173337079
21,16.488943099975586,5,0,0.70049286,0.07712000039677393,0.08469673615532863,0.13207781008665737,0.06730447963976938
22,211.38048195838928,5,20,0.5687717,0.0766708332700759,0.08610900254467575,0.1292949316422375,0.06901169675844106
23,16.105715036392212,5,0,0.2045173,0.0763689757265845,0.08685572182033806,0.12334057916835443,0.07271457887870524
24,232.93729615211487,5,20,0.13873813,0.07629565412174488,0.08597581495529152,0.11617260932309378,0.07861480403348987
25,13.651597023010254,5,0,1.8019894,0.07631555665585599,0.094660838207936,0.12789856429302812,0.07783944625001772
26,248.0745439529419,5,20,1.6532016,0.07635640998168745,0.10439932181424123,0.1435741310676721,0.07661835988755876
27,15.088334083557129,5,0,1.3032819,0.07655102406773072,0.11239521771741035,0.15428341703935972,0.08423968018401107
