timestamp,gpu_util_percent,memory_used_mib,power_w
2026/05/09 19:19:00.968,2,4817,45.21
2026/05/09 19:19:02.006,5,4817,38.14
2026/05/09 19:19:03.046,5,4812,31.63
2026/05/09 19:19:04.084,5,4811,38.21
2026/05/09 19:19:05.129,10,4766,40.82
2026/05/09 19:19:06.185,9,4762,37.94
2026/05/09 19:19:07.234,6,4751,32.92
2026/05/09 19:19:08.289,8,4751,34.58
2026/05/09 19:19:09.339,11,4750,33.19
2026/05/09 19:19:10.389,7,4733,32.43
2026/05/09 19:19:11.439,7,4672,32.27
2026/05/09 19:19:12.491,8,4672,32.48
2026/05/09 19:19:13.536,7,4672,32.38
2026/05/09 19:19:14.574,5,4678,55.35
2026/05/09 19:19:15.606,4,4687,49.77
2026/05/09 19:19:16.641,4,4686,44.48
2026/05/09 19:19:17.675,4,4686,41.07
2026/05/09 19:19:18.707,4,4672,40.30
2026/05/09 19:19:19.743,10,4672,39.37
2026/05/09 19:19:20.784,10,4696,42.11
2026/05/09 19:19:21.845,10,4697,44.28
2026/05/09 19:19:22.881,2,4717,49.78
2026/05/09 19:19:23.915,1,4716,35.42
2026/05/09 19:19:24.957,4,4721,34.05
2026/05/09 19:19:25.996,7,4734,38.60
2026/05/09 19:19:27.038,6,4707,33.69
2026/05/09 19:19:28.085,7,4701,34.67
2026/05/09 19:19:29.139,7,4714,33.82
2026/05/09 19:19:30.175,1,5297,55.39
2026/05/09 19:19:31.205,1,5292,60.43
2026/05/09 19:19:32.236,1,5283,60.41
2026/05/09 19:19:33.267,1,5283,59.58
2026/05/09 19:19:34.299,1,5276,59.76
2026/05/09 19:19:35.331,1,5276,61.18
2026/05/09 19:19:36.363,1,5153,60.65
2026/05/09 19:19:37.396,1,5153,60.83
2026/05/09 19:19:38.429,1,5153,61.15
2026/05/09 19:19:39.462,0,5137,60.85
2026/05/09 19:19:40.493,0,5137,59.27
2026/05/09 19:19:41.524,1,5224,60.51
2026/05/09 19:19:42.557,1,5224,61.14
2026/05/09 19:19:43.589,1,5224,61.29
2026/05/09 19:19:44.620,1,5224,61.56
2026/05/09 19:19:45.653,1,5224,61.51
2026/05/09 19:19:46.683,1,5228,61.87
2026/05/09 19:19:47.715,67,5260,85.12
2026/05/09 19:19:48.748,1,5255,163.44
2026/05/09 19:19:49.780,46,5256,142.27
2026/05/09 19:19:50.812,59,5257,143.70
2026/05/09 19:19:51.843,59,5326,151.49
2026/05/09 19:19:52.874,53,5327,174.33
2026/05/09 19:19:53.906,1,5360,95.52
2026/05/09 19:19:54.938,53,5362,114.72
2026/05/09 19:19:55.971,55,5342,341.50
2026/05/09 19:19:57.003,49,5337,357.40
2026/05/09 19:19:58.035,51,5328,363.59
2026/05/09 19:19:59.067,48,5328,366.96
2026/05/09 19:20:00.099,53,5307,370.25
2026/05/09 19:20:01.130,50,5333,359.16
2026/05/09 19:20:02.162,47,5323,326.66
2026/05/09 19:20:03.193,41,5322,315.71
2026/05/09 19:20:04.226,34,5361,313.88
2026/05/09 19:20:05.259,45,5361,320.29
2026/05/09 19:20:06.292,49,5357,320.25
2026/05/09 19:20:07.325,40,5353,321.07
2026/05/09 19:20:08.356,40,5335,320.45
