stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi,A_mean_so_far,B_end,F_end,A_end
1,0.19805407524108887,0,0,1.0,0.09762438202962109,0.05548917838471154,0.2959598949425707,0.09490694569916792
2,31.361222982406616,5,5,1.0,0.09503506122119791,0.05931131404419524,0.29175707404930723,0.0914359674741382
3,16.65526795387268,5,0,0.3054485,0.09282605236785559,0.058703536717903224,0.2764878134659996,0.08556392891898792
4,24.709721088409424,5,5,0.26180306,0.09072557294222422,0.0620589521321708,0.25303348668098596,0.08456972703267575
5,13.862632036209106,5,0,0.98380446,0.08949088826892676,0.06754486562761089,0.25336517380354256,0.08445371374673279
6,27.102393865585327,5,5,0.9765764,0.08808501033134661,0.07215474299836168,0.24904412943070678,0.07888906405016022
7,15.268287181854248,5,0,0.7529047,0.08688137716390976,0.0754370052825172,0.24238079169058085,0.08229149201476073
8,27.811123847961426,5,6,0.71790105,0.08592490155499503,0.08048451223802561,0.23294215492306558,0.07617262853819118
9,13.537032127380371,5,0,2.2531064,0.08467552769779213,0.09314215722023708,0.2464916934422177,0.07691428084729172
10,25.488897800445557,5,6,2.31086,0.08389328777468644,0.10914363328894963,0.2665654647125371,0.07885305418289405
11,15.111640930175781,5,0,2.1980908,0.08320739315421075,0.11844360506684788,0.2801699204987024,0.07603491909026698
12,27.91928195953369,5,6,2.250754,0.08220154508742952,0.13231184778226648,0.29447423207348533,0.0675397054800262
13,13.666875123977661,5,0,0.39316556,0.08086926125263921,0.1330932898583932,0.28147174525507257,0.0645525373215411
14,28.67667007446289,5,5,0.3537846,0.07963206417411928,0.1318024100471382,0.268204404474219,0.06083759325235143
15,16.614611864089966,5,0,0.49251857,0.07832931611461387,0.1324600219164092,0.2567056822045448,0.06161242170267473
16,26.756742000579834,5,5,0.45691642,0.0773820594390262,0.13471496093815438,0.24333777071628937,0.06327826156882865
17,15.411301136016846,5,0,1.908636,0.07662171118238996,0.1458360588542342,0.255690365499815,0.06346973218341463
18,26.973237991333008,5,5,1.9611683,0.07611615957562981,0.15651215734281188,0.26931383467182135,0.07271244456444817
19,15.167527914047241,5,0,0.89619786,0.075920199971363,0.16142260689643875,0.2612217916581234,0.07397846381881602
20,29.256155967712402,5,6,0.8733466,0.07569570209836834,0.164903773880284,0.25653953055417505,0.06991000410089551
21,16.423949003219604,5,0,1.7212038,0.07517718617912428,0.17301120322974073,0.2641182661798212,0.06231179405076359
22,30.277183055877686,5,6,1.7495494,0.07458270745971435,0.180214864261388,0.2682713888948121,0.0636763264481788
23,13.85620403289795,5,0,0.42028832,0.07413272542059685,0.18135832093555385,0.25557670320767545,0.06700052310296639
24,26.81073498725891,5,6,0.37800565,0.07390746734014043,0.18057249732448813,0.24217782495572593,0.0725056456499799
25,14.667975902557373,5,0,2.2476356,0.07377905292642907,0.1903760606699955,0.24872050663983244,0.07165577459891426
26,30.623488903045654,5,6,2.2960339,0.07367827322399896,0.20313542365852902,0.26533269825657085,0.07037986378332538
27,15.481882095336914,5,0,1.9302896,0.07373068609430422,0.21416322465716156,0.2770781131237062,0.07754832380421099
28,27.469532012939453,5,5,1.9752411,0.07378600678000755,0.2223265479779494,0.2923123980855652,0.07329602215081532
