timestamp,gpu_util_percent,memory_used_mib,power_w
2026/05/09 10:47:56.220,1,4258,31.87
2026/05/09 10:47:57.262,1,4258,31.18
2026/05/09 10:47:58.300,1,4258,30.87
2026/05/09 10:47:59.401,1,4258,35.25
2026/05/09 10:48:00.466,1,4261,33.66
2026/05/09 10:48:01.505,1,4261,29.34
2026/05/09 10:48:02.541,1,4261,28.17
2026/05/09 10:48:03.576,1,4261,28.11
2026/05/09 10:48:04.612,1,4261,27.82
2026/05/09 10:48:05.650,1,4261,27.77
2026/05/09 10:48:06.688,1,4261,28.07
2026/05/09 10:48:07.726,1,4261,28.15
2026/05/09 10:48:08.764,1,4261,27.28
2026/05/09 10:48:09.800,1,4261,26.91
2026/05/09 10:48:10.834,1,4261,26.98
2026/05/09 10:48:11.868,1,4261,26.70
2026/05/09 10:48:12.902,1,4261,26.73
2026/05/09 10:48:13.937,1,4261,27.36
2026/05/09 10:48:14.970,1,4261,26.54
2026/05/09 10:48:16.004,1,4261,26.55
2026/05/09 10:48:17.038,1,4261,26.30
2026/05/09 10:48:18.074,1,4261,26.39
2026/05/09 10:48:19.110,1,4261,26.30
2026/05/09 10:48:20.147,1,4261,26.43
2026/05/09 10:48:21.184,1,4261,26.44
2026/05/09 10:48:22.223,1,4261,26.69
2026/05/09 10:48:23.263,1,4261,26.21
2026/05/09 10:48:24.300,0,5148,48.96
2026/05/09 10:48:25.330,0,5148,63.42
2026/05/09 10:48:26.359,0,5148,63.38
2026/05/09 10:48:27.390,0,5148,63.25
2026/05/09 10:48:28.420,0,5148,63.44
2026/05/09 10:48:29.450,0,5148,63.19
2026/05/09 10:48:30.480,0,5148,63.22
2026/05/09 10:48:31.511,0,5148,63.40
2026/05/09 10:48:32.542,0,5148,63.30
2026/05/09 10:48:33.571,0,5148,63.50
2026/05/09 10:48:34.601,0,5148,63.36
2026/05/09 10:48:35.632,0,5148,63.37
2026/05/09 10:48:36.663,0,5214,63.69
2026/05/09 10:48:37.694,0,5214,63.57
2026/05/09 10:48:38.726,0,5214,63.45
2026/05/09 10:48:39.757,0,5214,63.26
2026/05/09 10:48:40.790,0,5214,63.28
2026/05/09 10:48:41.821,0,5214,63.84
2026/05/09 10:48:42.851,0,5214,65.01
2026/05/09 10:48:43.882,78,5214,109.55
2026/05/09 10:48:44.913,76,5214,157.11
2026/05/09 10:48:45.944,75,5214,493.00
2026/05/09 10:48:46.974,75,5214,549.04
2026/05/09 10:48:48.005,74,5214,550.19
2026/05/09 10:48:49.037,79,5246,276.42
2026/05/09 10:48:50.068,76,5246,228.95
2026/05/09 10:48:51.099,78,5246,545.78
2026/05/09 10:48:52.130,81,5246,546.88
2026/05/09 10:48:53.161,81,5246,552.85
2026/05/09 10:48:54.192,79,5246,189.47
2026/05/09 10:48:55.223,77,5246,312.39
2026/05/09 10:48:56.256,75,5246,549.37
2026/05/09 10:48:57.289,75,5246,545.13
2026/05/09 10:48:58.320,78,5246,334.45
2026/05/09 10:48:59.351,76,5246,181.83
2026/05/09 10:49:00.382,77,5246,544.95
2026/05/09 10:49:01.414,75,5246,548.77
2026/05/09 10:49:02.445,76,5246,539.35
2026/05/09 10:49:03.477,80,5246,290.37
2026/05/09 10:49:04.508,78,5246,238.94
2026/05/09 10:49:05.539,75,5246,553.41
2026/05/09 10:49:06.569,79,5246,550.25
2026/05/09 10:49:07.599,80,5246,556.67
2026/05/09 10:49:08.628,82,5246,227.41
2026/05/09 10:49:09.659,82,5246,314.72
2026/05/09 10:49:10.690,82,5246,561.43
2026/05/09 10:49:11.722,79,5246,560.06
2026/05/09 10:49:12.752,0,5246,233.83
2026/05/09 10:49:13.783,84,5246,126.37
2026/05/09 10:49:14.814,86,5246,171.61
2026/05/09 10:49:15.845,72,5246,490.36
2026/05/09 10:49:16.876,71,5246,518.25
2026/05/09 10:49:17.908,71,5246,517.62
2026/05/09 10:49:18.941,88,5246,397.36
2026/05/09 10:49:19.972,85,5246,173.67
2026/05/09 10:49:21.004,71,5246,488.04
2026/05/09 10:49:22.036,71,5246,515.00
2026/05/09 10:49:23.069,75,5246,516.47
2026/05/09 10:49:24.101,85,5246,393.12
2026/05/09 10:49:25.132,75,5246,171.19
2026/05/09 10:49:26.164,76,5246,509.09
2026/05/09 10:49:27.197,80,5246,553.20
2026/05/09 10:49:28.228,80,5246,557.74
