stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi,A_mean_so_far,B_end,F_end,A_end
1,0.1971149444580078,0,0,1.0,0.09762438202962109,0.05548917838471154,0.2959598949425707,0.09490694569916792
2,10.721291065216064,5,5,1.0,0.09503506122119791,0.05931131404419524,0.29175707404930723,0.0914359674741382
3,0.1383810043334961,5,0,0.2786496,0.09282627189610806,0.05853907801970634,0.27610056012543277,0.08556563961624553
4,3.0709378719329834,5,5,0.24609691,0.09072664150626575,0.06179600693040245,0.2524546213997042,0.0845751058340621
5,0.10217809677124023,5,0,0.27361244,0.08949579924972385,0.06288450938705199,0.24250543495612464,0.08449791726350295
6,3.0389018058776855,5,5,0.24394046,0.08810478907594081,0.06303277659800635,0.2283612084845835,0.07903325603606379
7,0.10159707069396973,5,0,0.2774593,0.08692961441980346,0.06353671800528493,0.21629962418753365,0.0825809270193045
8,3.197942018508911,5,5,0.2501128,0.08601309567876288,0.06572682183177743,0.20213297324928628,0.0766039908953327
9,0.13541483879089355,5,0,0.36936733,0.0848128441691931,0.06698516306586802,0.1908179443885137,0.07756062881023017
10,3.238646984100342,5,5,0.34161505,0.0840994007558975,0.07077059249440171,0.18579901770043789,0.07986458590128787
11,0.13755106925964355,5,0,0.37944236,0.08350825505304152,0.06990177529230754,0.17873861876069672,0.0775120120649644
12,3.2795519828796387,5,5,0.35053667,0.08262125134955128,0.07236465333097172,0.17246565028496155,0.06948329620275819
13,0.13011598587036133,5,0,0.4142997,0.08142557127143564,0.07400075353889128,0.16802714279134504,0.0669735343765005
14,3.2861268520355225,5,5,0.38087785,0.08033707036372466,0.07400737664670055,0.16293547449094115,0.06360622964895764
15,0.10293793678283691,5,0,0.36082575,0.07918311166328462,0.07472495528659903,0.15697622502468067,0.0647331763338705
16,3.247807025909424,5,5,0.32969278,0.07838960029114546,0.07665813348222841,0.14929425002185148,0.06671276267163798
17,0.14301490783691406,5,0,0.41223523,0.07778217157846795,0.07908077447467164,0.14627719788654636,0.06717767927443188
18,3.3190181255340576,5,5,0.3756218,0.07743455141408219,0.08073398301341489,0.14391536302644442,0.07703595109603767
19,0.1239020824432373,5,0,0.41607392,0.07740728556275185,0.08328092045726913,0.1384083279395353,0.07871767724213004
20,3.201568841934204,5,5,0.3870614,0.07735004838173126,0.08469428789260397,0.1351704518989757,0.07483010441092813
21,0.13214898109436035,5,0,0.3830651,0.07698564945038129,0.0856864821520069,0.13181999420901347,0.06724081781020372
22,3.18572998046875,5,5,0.35015306,0.07654004728154838,0.08574200315226668,0.12591707750682643,0.06896283355453303
23,0.1238870620727539,5,0,0.40393865,0.07624213286823975,0.08771452573388197,0.12310959359191175,0.07267994990467048
24,3.0883398056030273,5,5,0.36734593,0.0761728217901132,0.08823164084837228,0.11928258160329337,0.07858591680985715
25,0.10407900810241699,5,0,0.5029962,0.07619689949326211,0.08893044515230451,0.11211246592849257,0.07783723692969356
26,3.128998041152954,5,5,0.47090104,0.07624364505624301,0.09143052752144377,0.1117266652154361,0.07669075062846001
27,0.12944388389587402,5,0,0.54398555,0.07644746797760808,0.09481655903621555,0.11349285419411861,0.08443460865551353
28,3.1387691497802734,5,5,0.5052834,0.07665406763023659,0.09578129228560246,0.11689431184149265,0.08031243937191422
29,0.10602903366088867,5,0,0.5262936,0.07687092688563445,0.09862162417797649,0.11956160055719499,0.08467128671449341
30,3.1603968143463135,5,5,0.49831513,0.07706426466185876,0.10191837581509058,0.1168424586648331,0.07978437112554071
31,0.10194015502929688,5,0,0.55390257,0.07721674585142496,0.10396619882862616,0.1172331528611046,0.08502609746017188
32,3.113243818283081,5,5,0.5188269,0.0774082945510427,0.10458708437500931,0.11248367862713368,0.08446016651329365
33,0.10236811637878418,5,0,0.7256991,0.0776410327259808,0.10862581526972716,0.11752933170343807,0.08779151110743871
34,3.141875982284546,5,5,0.6860835,0.0779902141969317,0.11249584355103415,0.11788843216344545,0.09159149483830678
35,0.10665106773376465,5,0,0.6281826,0.0784180060293258,0.1154754338160768,0.1204577815007227,0.09349612637337662
36,3.1254940032958984,5,5,0.6014373,0.07882635793667554,0.11796487749473394,0.12275519755475857,0.09236891832146682
37,0.1149740219116211,5,0,0.70003194,0.07924737735289922,0.12397115820775345,0.12346567761452916,0.09590565579305989
