stride_idx,level,beta_pre,beta_post,delta_beta,beta_max,ess_at_dbeta_chosen,n_smc,theta_dim,chees_L_chosen,chees_score_best,chees_L_candidates,chees_scores,eps_step_size,n_mcmc_moves,total_accepts,accept_frac,log_density_pre_mean,log_density_post_mean,delta_log_density,esjd_total,esjd_per_eps_L,wall_seconds_level
2,1,0.0,0.011612742317216785,0.011612742317216785,0.05806371158608392,583.931680682475,1024,24,16,60.02420502791265,16;32;64;128;256;512,60.02420502791265;18.30549198071639;12.902361594880722;3.78613314908165;3.35046131360016;0.4207603032271302,0.2,8,8113,0.9903564453125,-139.65847780024342,-38.48565951597993,101.17281828426349,99.9864159219098,31.24575497559681,51.68435001373291
2,2,0.011612742317216785,0.02322548463443357,0.011612742317216785,0.05806371158608392,821.4830381373357,1024,24,16,49.02977214253313,16;32;64;128;256;512,49.02977214253313;21.737032032058103;12.477324050949763;3.5448393769675257;3.2015981709700045;0.589927623936245,0.2,8,8114,0.990478515625,-38.48565951597993,-12.365651060019445,26.120008455960487,94.88107244592933,29.650335139352915,51.94049000740051
2,3,0.02322548463443357,0.034838226951650356,0.011612742317216786,0.05806371158608392,910.766198320441,1024,24,16,42.99266060052748,16;32;64;128;256;512,42.99266060052748;16.27335509843999;12.081032220755754;3.399817574452837;2.795860239399807;0.4750212951892611,0.2,8,8095,0.9881591796875,-12.365651060019445,-1.3033989047798968,11.062252155239548,92.64778313991944,28.952432231224822,51.89079308509827
2,4,0.034838226951650356,0.04645096926886714,0.011612742317216783,0.05806371158608392,944.6689549036639,1024,24,16,41.04594436524877,16;32;64;128;256;512,41.04594436524877;17.939527691199064;10.20815537290209;3.356576069089588;2.4345886994005377;0.5949956139933085,0.2,8,8069,0.9849853515625,-1.3033989047798968,8.305915380231454,9.60931428501135,91.79569016315737,28.68615317598668,53.66608285903931
2,5,0.04645096926886714,0.05806371158608392,0.011612742317216783,0.05806371158608392,967.25190828774,1024,24,16,47.29269082245146,16;32;64;128;256;512,47.29269082245146;19.464238952860498;13.129915271939554;3.9359826913598677;3.1714594461395555;0.4273178140743465,0.2,8,8072,0.9853515625,8.305915380231454,12.816675352718448,4.510759972486994,89.58109205716983,27.99409126786557,52.34126901626587
4,1,0.0,0.011229636526010464,0.011229636526010464,0.056148182630052314,575.9621670366016,1024,24,16,53.01877634968689,16;32;64;128;256;512,53.01877634968689;18.041112082326517;13.095653962237458;3.8741605923325118;3.0037446368798717;0.4192462269651901,0.2,8,8136,0.9931640625,-144.3151069771011,-36.5260343434893,107.7890726336118,100.62091811642256,31.44403691138205,51.51175284385681
4,2,0.011229636526010464,0.022459273052020928,0.011229636526010464,0.056148182630052314,837.4035553512102,1024,24,16,45.27203178538235,16;32;64;128;256;512,45.27203178538235;18.97926767144843;12.985574981678315;3.3858037597663686;2.594977780950827;0.5670739968072328,0.2,8,8111,0.9901123046875,-36.5260343434893,-12.996171422371845,23.529862921117456,97.1531888962493,30.360371530077906,53.2963490486145
4,3,0.022459273052020928,0.03368890957803139,0.011229636526010462,0.056148182630052314,907.8645715048838,1024,24,16,49.32949634786575,16;32;64;128;256;512,49.32949634786575;14.434980550778752;11.533974293610601;3.5233539499728455;3.4122454804761846;0.4652439015583722,0.2,8,8108,0.98974609375,-12.996171422371845,0.16829398876143387,13.164465411133278,93.73906786167456,29.293458706773297,52.584566831588745
4,4,0.03368890957803139,0.044918546104041855,0.011229636526010466,0.056148182630052314,945.0723871564202,1024,24,16,38.56182101199762,16;32;64;128;256;512,38.56182101199762;14.457234600076436;8.00991711989809;3.3012944148952466;2.3720280229371347;0.3870978049580202,0.2,8,8068,0.98486328125,0.16829398876143387,9.489551657650736,9.321257668889302,91.73795683499768,28.66811151093677,51.79814696311951
4,5,0.044918546104041855,0.056148182630052314,0.011229636526010459,0.056148182630052314,970.2956674722332,1024,24,16,43.62422600114003,16;32;64;128;256;512,43.62422600114003;17.98531268241013;11.956580086710087;3.921249106264344;2.4416445834718044;0.40109481029317096,0.2,8,8071,0.9852294921875,9.489551657650736,15.157365455001127,5.667813797350391,91.21545113763726,28.50482848051164,51.5214638710022
6,1,0.0,0.013539992366488288,0.013539992366488288,0.06769996183244144,540.8698669168344,1024,24,16,57.82697786537697,16;32;64;128;256;512,57.82697786537697;21.946586059015143;15.057331096078551;4.402779917710262;3.848945238403186;0.3776013781165465,0.2,8,8116,0.99072265625,-123.02342643588781,-25.38930031525888,97.63412612062893,96.87774867666917,30.274296461459116,52.30652189254761
6,2,0.013539992366488288,0.027079984732976577,0.013539992366488288,0.06769996183244144,814.0280237414946,1024,24,16,33.90746325607799,16;32;64;128;256;512,33.90746325607799;13.876175930215275;9.582679270552031;3.087917139146983;1.8633270977012275;0.39157513559062623,0.2,8,8102,0.989013671875,-25.38930031525888,-2.353230040134804,23.036070275124075,96.50050010092559,30.156406281539248,51.65048789978027
6,3,0.027079984732976577,0.04061997709946487,0.013539992366488292,0.06769996183244144,901.3195485769535,1024,24,16,46.79698542944263,16;32;64;128;256;512,46.79698542944263;13.987683522144092;11.468506146429046;2.9990837218994586;2.7795926259264117;0.5075491052911718,0.2,8,8076,0.98583984375,-2.353230040134804,11.249656171345123,13.602886211479927,93.16840111334098,29.115125347919054,52.42716193199158
6,4,0.04061997709946487,0.05415996946595315,0.013539992366488285,0.06769996183244144,947.4207358010475,1024,24,16,47.573263783949734,16;32;64;128;256;512,47.573263783949734;17.23577610491712;11.346929381129842;2.8623249740116843;2.925023646175382;0.44259617424319786,0.2,8,8036,0.98095703125,11.249656171345123,18.514302309591585,7.264646138246462,91.56647477020304,28.61452336568845,52.56191396713257
6,5,0.05415996946595315,0.06769996183244144,0.013539992366488285,0.06769996183244144,973.3133478497048,1024,24,16,45.94448452157217,16;32;64;128;256;512,45.94448452157217;18.77666596942629;12.345173617476517;3.776948955515851;2.9680928419531187;0.49113817777964197,0.2,8,8065,0.9844970703125,18.514302309591585,23.016493945076945,4.50219163548536,88.66846232549965,27.708894476718637,52.0786771774292
8,1,0.0,0.011786127819090664,0.011786127819090664,0.05893063909545331,630.7256456046498,1024,24,16,55.614827477472154,16;32;64;128;256;512,55.614827477472154;22.990644817708652;15.0258737325349;4.442647954039889;3.8422982591334276;0.46985598983619176,0.2,8,8134,0.992919921875,-107.68436480306991,-27.356433507193287,80.32793129587662,100.84209865086808,31.513155828396275,52.60357213020325
8,2,0.011786127819090664,0.023572255638181328,0.011786127819090664,0.05893063909545331,850.8237016015316,1024,24,16,57.12080512235076,16;32;64;128;256;512,57.12080512235076;22.25604949345759;13.000991734161035;4.533638763275223;3.9265676575258524;0.34412752053725415,0.2,8,8116,0.99072265625,-27.356433507193287,-6.6727417479633,20.683691759229987,98.06484431590914,30.645263848721605,52.156554222106934
