timestamp,gpu_util_percent,memory_used_mib,power_w
2026/05/10 08:14:15.590,7,5023,60.86
2026/05/10 08:14:16.627,2,5023,36.02
2026/05/10 08:14:17.666,0,5022,29.70
2026/05/10 08:14:18.704,0,5022,28.41
2026/05/10 08:14:19.740,0,5025,28.37
2026/05/10 08:14:20.788,17,5028,49.54
2026/05/10 08:14:21.830,22,5028,48.14
2026/05/10 08:14:22.874,25,5029,59.06
2026/05/10 08:14:23.923,6,5103,52.99
2026/05/10 08:14:24.967,1,5103,29.90
2026/05/10 08:14:26.009,1,5102,28.33
2026/05/10 08:14:27.050,1,5102,28.22
2026/05/10 08:14:28.092,1,5102,27.84
2026/05/10 08:14:29.143,7,5068,27.76
2026/05/10 08:14:30.197,1,5113,27.35
2026/05/10 08:14:31.246,5,5112,82.08
2026/05/10 08:14:32.282,4,5113,90.86
2026/05/10 08:14:33.319,0,5111,55.94
2026/05/10 08:14:34.352,0,5111,36.98
2026/05/10 08:14:35.385,0,5033,35.24
2026/05/10 08:14:36.427,0,5029,34.30
2026/05/10 08:14:37.464,0,5029,26.46
2026/05/10 08:14:38.502,0,5029,24.53
2026/05/10 08:14:39.540,0,5029,23.69
2026/05/10 08:14:40.574,6,5564,24.68
2026/05/10 08:14:41.604,0,5564,64.15
2026/05/10 08:14:42.634,0,5564,64.18
2026/05/10 08:14:43.664,0,5564,64.71
2026/05/10 08:14:44.694,0,5564,64.78
2026/05/10 08:14:45.725,0,5564,64.57
2026/05/10 08:14:46.755,0,5564,64.52
2026/05/10 08:14:47.788,0,5564,65.08
2026/05/10 08:14:48.819,0,5564,64.04
2026/05/10 08:14:49.850,0,5564,63.88
2026/05/10 08:14:50.879,0,5564,64.36
2026/05/10 08:14:51.910,1,5564,64.32
2026/05/10 08:14:52.940,0,5630,63.84
2026/05/10 08:14:53.971,0,5630,64.06
2026/05/10 08:14:55.002,0,5630,64.02
2026/05/10 08:14:56.033,0,5630,64.50
2026/05/10 08:14:57.063,2,5630,67.13
2026/05/10 08:14:58.094,38,5630,75.72
2026/05/10 08:14:59.125,55,5630,119.16
2026/05/10 08:15:00.156,57,5630,147.97
2026/05/10 08:15:01.189,43,5630,138.17
2026/05/10 08:15:02.219,50,5630,115.76
2026/05/10 08:15:03.250,48,5630,112.15
2026/05/10 08:15:04.279,60,5630,134.05
2026/05/10 08:15:05.310,55,5630,148.15
2026/05/10 08:15:06.341,49,5630,139.74
2026/05/10 08:15:07.372,52,5630,112.60
2026/05/10 08:15:08.402,58,5631,136.08
2026/05/10 08:15:09.432,56,5631,147.48
2026/05/10 08:15:10.462,53,5630,138.58
2026/05/10 08:15:11.492,53,5630,113.88
2026/05/10 08:15:12.523,58,5630,138.03
2026/05/10 08:15:13.554,58,5630,148.96
2026/05/10 08:15:14.585,52,5630,138.27
2026/05/10 08:15:15.616,56,5630,125.88
2026/05/10 08:15:16.647,55,5630,148.44
2026/05/10 08:15:17.678,49,5630,149.32
2026/05/10 08:15:18.708,47,5630,117.62
2026/05/10 08:15:19.738,57,5630,126.39
2026/05/10 08:15:20.768,57,5630,149.53
2026/05/10 08:15:21.799,55,5630,151.03
2026/05/10 08:15:22.830,54,5630,114.91
2026/05/10 08:15:23.860,57,5630,130.93
2026/05/10 08:15:24.890,53,5630,148.02
2026/05/10 08:15:25.921,52,5630,147.16
2026/05/10 08:15:26.951,52,5630,115.77
2026/05/10 08:15:27.982,57,5630,131.54
2026/05/10 08:15:29.012,52,5630,149.82
2026/05/10 08:15:30.041,50,5630,146.73
2026/05/10 08:15:31.072,50,5630,116.33
2026/05/10 08:15:32.102,57,5630,144.36
2026/05/10 08:15:33.132,58,5630,149.48
2026/05/10 08:15:34.163,50,5630,129.75
2026/05/10 08:15:35.194,52,5630,122.87
2026/05/10 08:15:36.224,59,5630,150.26
2026/05/10 08:15:37.253,44,5630,147.19
2026/05/10 08:15:38.284,50,5630,123.36
2026/05/10 08:15:39.314,56,5630,121.22
2026/05/10 08:15:40.344,58,5630,149.82
2026/05/10 08:15:41.374,0,5662,94.56
2026/05/10 08:15:42.404,96,5662,144.77
2026/05/10 08:15:43.436,95,5662,242.23
2026/05/10 08:15:44.466,96,5662,241.62
2026/05/10 08:15:45.495,97,5662,245.03
2026/05/10 08:15:46.524,97,5662,246.24
2026/05/10 08:15:47.551,95,5662,246.23
2026/05/10 08:15:48.579,96,5662,246.74
2026/05/10 08:15:49.608,97,5662,247.85
2026/05/10 08:15:50.636,97,5662,246.06
2026/05/10 08:15:51.665,100,5662,480.83
2026/05/10 08:15:52.695,100,5662,536.22
2026/05/10 08:15:53.724,92,5662,540.26
2026/05/10 08:15:54.754,93,5662,539.06
2026/05/10 08:15:55.784,100,5662,544.81
2026/05/10 08:15:56.813,100,5919,547.79
2026/05/10 08:15:57.842,100,5919,545.28
2026/05/10 08:15:58.872,100,5908,540.26
2026/05/10 08:15:59.901,94,5908,535.50
2026/05/10 08:16:00.933,92,5908,542.01
2026/05/10 08:16:01.964,100,5872,549.41
2026/05/10 08:16:02.992,100,5872,543.77
2026/05/10 08:16:04.021,100,5872,551.95
2026/05/10 08:16:05.051,100,5872,549.51
2026/05/10 08:16:06.081,86,5872,541.84
2026/05/10 08:16:07.111,100,5872,546.64
2026/05/10 08:16:08.141,85,5872,545.09
2026/05/10 08:16:09.170,93,5872,547.14
2026/05/10 08:16:10.200,100,5872,542.97
2026/05/10 08:16:11.231,100,5872,557.12
2026/05/10 08:16:12.260,100,5872,542.75
2026/05/10 08:16:13.290,100,5872,550.68
2026/05/10 08:16:14.319,93,5872,541.68
2026/05/10 08:16:15.348,94,5872,553.60
2026/05/10 08:16:16.377,100,5872,553.88
2026/05/10 08:16:17.407,100,5872,557.80
2026/05/10 08:16:18.440,100,5872,546.62
2026/05/10 08:16:19.469,100,5872,551.30
2026/05/10 08:16:20.499,86,5872,539.79
2026/05/10 08:16:21.528,89,5872,543.06
2026/05/10 08:16:22.557,100,5872,547.46
2026/05/10 08:16:23.587,100,5872,556.61
2026/05/10 08:16:24.615,98,5872,539.38
2026/05/10 08:16:25.644,100,5872,541.88
2026/05/10 08:16:26.672,100,5872,553.65
2026/05/10 08:16:27.701,100,5872,551.61
2026/05/10 08:16:28.730,100,5872,543.69
2026/05/10 08:16:29.759,85,5872,535.09
2026/05/10 08:16:30.788,91,5872,539.78
2026/05/10 08:16:31.817,94,5872,540.91
2026/05/10 08:16:32.846,100,5872,539.90
2026/05/10 08:16:33.875,100,5872,550.46
2026/05/10 08:16:34.904,96,5872,326.65
2026/05/10 08:16:35.933,96,5872,257.55
2026/05/10 08:16:36.967,92,5872,256.10
2026/05/10 08:16:37.996,96,5872,256.42
2026/05/10 08:16:39.026,92,5872,255.61
2026/05/10 08:16:40.055,95,5872,254.88
2026/05/10 08:16:41.085,96,5872,255.28
2026/05/10 08:16:42.113,96,5872,254.09
2026/05/10 08:16:43.142,100,5872,300.09
2026/05/10 08:16:44.172,100,5872,531.12
2026/05/10 08:16:45.201,100,5872,552.04
2026/05/10 08:16:46.231,100,5872,546.71
2026/05/10 08:16:47.260,91,5872,539.66
2026/05/10 08:16:48.288,85,5872,546.22
2026/05/10 08:16:49.317,100,5871,545.63
2026/05/10 08:16:50.366,33,5990,389.02
2026/05/10 08:16:51.397,88,6008,575.96
2026/05/10 08:16:52.426,95,6007,566.84
2026/05/10 08:16:53.460,91,6009,557.64
2026/05/10 08:16:54.497,94,5786,563.50
2026/05/10 08:16:55.529,88,5786,555.45
2026/05/10 08:16:56.562,92,5786,569.63
2026/05/10 08:16:57.593,93,5833,560.52
2026/05/10 08:16:58.623,100,5838,548.03
2026/05/10 08:16:59.654,92,5816,546.77
2026/05/10 08:17:00.684,92,5815,557.38
2026/05/10 08:17:01.714,100,5816,546.83
2026/05/10 08:17:02.745,100,5812,547.29
2026/05/10 08:17:03.776,100,5828,555.41
2026/05/10 08:17:04.806,100,5828,543.07
2026/05/10 08:17:05.837,94,5828,554.08
2026/05/10 08:17:06.867,92,5828,542.34
2026/05/10 08:17:07.898,95,5828,555.76
2026/05/10 08:17:08.928,100,5804,543.37
2026/05/10 08:17:09.958,100,5770,544.50
2026/05/10 08:17:10.988,100,5780,547.76
2026/05/10 08:17:12.019,100,5780,544.15
2026/05/10 08:17:13.049,100,5779,552.43
2026/05/10 08:17:14.080,95,5812,549.61
2026/05/10 08:17:15.111,100,5812,541.46
2026/05/10 08:17:16.141,100,5812,549.88
2026/05/10 08:17:17.171,100,5812,547.28
2026/05/10 08:17:18.203,100,5799,559.31
2026/05/10 08:17:19.234,89,5808,538.89
2026/05/10 08:17:20.265,89,5825,542.81
2026/05/10 08:17:21.297,90,5825,542.93
2026/05/10 08:17:22.327,81,5824,543.44
2026/05/10 08:17:23.358,100,5824,548.01
2026/05/10 08:17:24.389,100,5819,547.05
2026/05/10 08:17:25.419,100,5811,554.18
2026/05/10 08:17:26.449,100,5811,554.86
2026/05/10 08:17:27.479,100,5811,553.50
2026/05/10 08:17:28.509,97,5811,307.46
2026/05/10 08:17:29.540,97,5811,259.64
2026/05/10 08:17:30.569,97,5811,259.85
2026/05/10 08:17:31.598,97,5811,258.54
2026/05/10 08:17:32.628,93,5811,256.29
2026/05/10 08:17:33.657,97,5811,257.27
2026/05/10 08:17:34.686,97,5811,257.61
2026/05/10 08:17:35.716,97,5811,257.48
2026/05/10 08:17:36.745,100,5811,337.25
2026/05/10 08:17:37.774,94,5795,544.49
2026/05/10 08:17:38.804,86,5795,543.39
2026/05/10 08:17:39.834,86,5795,552.17
2026/05/10 08:17:40.866,100,5774,546.10
2026/05/10 08:17:41.897,100,5774,545.16
2026/05/10 08:17:42.928,100,5774,553.43
2026/05/10 08:17:43.958,100,5813,559.64
2026/05/10 08:17:44.990,100,5813,551.59
2026/05/10 08:17:46.021,93,5812,545.85
2026/05/10 08:17:47.053,89,5812,539.46
2026/05/10 08:17:48.084,80,5812,545.81
2026/05/10 08:17:49.114,100,5793,550.57
2026/05/10 08:17:50.145,100,5797,560.49
2026/05/10 08:17:51.176,92,5797,550.03
2026/05/10 08:17:52.207,90,5801,546.64
2026/05/10 08:17:53.237,89,5800,548.35
2026/05/10 08:17:54.268,89,5800,552.13
2026/05/10 08:17:55.299,99,5828,546.69
2026/05/10 08:17:56.330,100,5828,549.84
2026/05/10 08:17:57.360,100,5828,543.83
2026/05/10 08:17:58.391,100,5828,551.72
2026/05/10 08:17:59.422,100,5828,544.20
2026/05/10 08:18:00.452,100,5812,543.56
2026/05/10 08:18:01.482,100,5770,554.08
2026/05/10 08:18:02.514,89,5770,540.21
2026/05/10 08:18:03.543,82,5770,543.05
2026/05/10 08:18:04.572,89,5770,551.33
2026/05/10 08:18:05.603,100,5770,554.43
2026/05/10 08:18:06.633,90,5770,543.84
2026/05/10 08:18:07.665,89,5770,539.23
2026/05/10 08:18:08.695,88,5770,546.20
2026/05/10 08:18:09.725,90,5770,545.36
2026/05/10 08:18:10.756,100,5770,553.14
2026/05/10 08:18:11.787,100,5770,545.66
2026/05/10 08:18:12.818,100,5770,540.61
2026/05/10 08:18:13.849,100,5770,555.32
2026/05/10 08:18:14.879,100,5770,548.40
2026/05/10 08:18:15.910,100,5770,539.49
2026/05/10 08:18:16.940,85,5770,551.30
2026/05/10 08:18:17.972,90,5770,539.37
2026/05/10 08:18:19.003,89,5770,551.01
2026/05/10 08:18:20.035,98,5770,551.53
2026/05/10 08:18:21.065,96,5770,431.96
2026/05/10 08:18:22.094,97,5770,260.49
2026/05/10 08:18:23.123,97,5770,260.35
2026/05/10 08:18:24.153,97,5770,259.69
2026/05/10 08:18:25.182,93,5770,256.96
2026/05/10 08:18:26.213,96,5770,256.42
2026/05/10 08:18:27.242,96,5770,256.23
2026/05/10 08:18:28.272,97,5770,257.23
2026/05/10 08:18:29.301,97,5770,257.04
2026/05/10 08:18:30.331,100,5770,485.30
2026/05/10 08:18:31.362,100,5770,560.14
2026/05/10 08:18:32.393,100,5770,545.96
2026/05/10 08:18:33.423,100,5770,545.80
2026/05/10 08:18:34.453,93,5770,544.37
2026/05/10 08:18:35.483,94,5770,551.30
2026/05/10 08:18:36.512,92,5770,549.50
2026/05/10 08:18:37.542,100,5770,547.25
2026/05/10 08:18:38.571,100,5770,552.01
2026/05/10 08:18:39.601,100,5787,555.95
2026/05/10 08:18:40.631,100,5787,546.09
2026/05/10 08:18:41.659,100,5787,559.45
2026/05/10 08:18:42.689,100,5787,557.33
2026/05/10 08:18:43.719,97,5787,554.50
2026/05/10 08:18:44.750,93,5770,542.61
2026/05/10 08:18:45.780,93,5770,556.17
2026/05/10 08:18:46.809,100,5770,544.89
2026/05/10 08:18:47.840,100,5770,544.44
2026/05/10 08:18:48.870,100,5770,556.84
2026/05/10 08:18:49.902,100,5791,553.81
2026/05/10 08:18:50.932,100,5791,548.84
2026/05/10 08:18:51.962,89,5791,544.58
2026/05/10 08:18:52.993,86,5791,553.05
2026/05/10 08:18:54.025,96,5791,555.04
2026/05/10 08:18:55.058,100,5765,544.96
2026/05/10 08:18:56.088,100,5765,553.03
2026/05/10 08:18:57.118,91,5765,549.12
2026/05/10 08:18:58.147,100,5765,547.67
2026/05/10 08:18:59.177,100,5765,551.32
2026/05/10 08:19:00.208,100,5765,546.90
2026/05/10 08:19:01.237,100,5765,549.66
2026/05/10 08:19:02.267,100,5765,555.35
