stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi_B,daily_phi_S,A_mean_so_far,B_end,S_end,F_end,A_end,KFB_end,KFS_end,t_slice_phi,t_plant_rollout,t_accumulate,t_window_grid,t_filter,t_xhat,t_replan,t_postlog
1,0.19850611686706543,0,0,1.0,1.0,0.46994303228159234,0.5056420807006312,0.45239418646350965,0.2396305635317481,0.47796601581514037,0.06205055986995611,0.07180890244739321,2.1457672119140625e-6,7.796287536621094e-5,2.193450927734375e-5,0.0,0.0,0.0,0.0,9.5367431640625e-7
2,309.8886330127716,10,5,1.0,1.0,0.48014646956548157,0.5038613871919895,0.45526816248180585,0.2792167106124095,0.4946139422619946,0.0628751970339331,0.07356110279359278,2.1457672119140625e-6,5.698204040527344e-5,4.0531158447265625e-6,9.5367431640625e-7,46.343294858932495,0.3332200050354004,262.4943618774414,0.12590384483337402
3,24.743523120880127,6,0,0.5684651,0.5154079,0.4897736011610278,0.5077437645573739,0.4510700153154716,0.28592366567345556,0.5255317783827997,0.06244826709690494,0.0748856766909456,9.5367431640625e-7,3.504753112792969e-5,4.0531158447265625e-6,1.9073486328125e-6,24.74323296546936,9.298324584960938e-5,0.0,1.1920928955078125e-6
4,285.25332379341125,6,5,0.5386844,0.48501265,0.500662724812711,0.5054800365626981,0.45206292418943367,0.2899192824423118,0.5429353436195736,0.06324815285618106,0.075451743033269,9.5367431640625e-7,3.886222839355469e-5,8.106231689453125e-6,1.9073486328125e-6,24.522531032562256,5.793571472167969e-5,260.7303988933563,1.5020370483398438e-5
5,20.13900089263916,5,0,0.5854326,0.5432042,0.5130855250267573,0.5133890199412627,0.4476476636322216,0.30746439018046734,0.5820237913446765,0.06362838358443597,0.07679729028751077,9.5367431640625e-7,2.5987625122070312e-5,9.059906005859375e-6,9.5367431640625e-7,20.13884711265564,4.696846008300781e-5,0.0,0.0
6,283.0369231700897,6,5,0.55300623,0.5121191,0.5273258933565145,0.5094488583916271,0.44605607764761146,0.3077497076727556,0.6087602445380585,0.06469364730169347,0.07733273360346869,1.1920928955078125e-6,2.47955322265625e-5,9.059906005859375e-6,2.1457672119140625e-6,21.9880588054657,7.700920104980469e-5,261.04850602149963,9.059906005859375e-6
7,23.79969096183777,6,0,0.584622,0.5307366,0.5405705877199382,0.5067473833821249,0.4407953008186417,0.31013610004353315,0.6225802600616573,0.0651243352631645,0.07874362313741437,0.0,1.4066696166992188e-5,4.76837158203125e-6,9.5367431640625e-7,23.799495935440063,6.508827209472656e-5,0.0,2.1457672119140625e-6
8,285.49933099746704,6,5,0.5514925,0.49568072,0.5534767233602051,0.5074160535682127,0.4403210659672576,0.3167080683547898,0.6602987906880129,0.06546997743730618,0.07987568650047697,9.5367431640625e-7,3.600120544433594e-5,1.0013580322265625e-5,3.0994415283203125e-6,25.339547872543335,6.890296936035156e-5,260.1594309806824,7.152557373046875e-6
9,23.58626699447632,6,0,0.61100143,0.5418711,0.5650073193403439,0.5027964752000169,0.4389756398350482,0.3176994232552536,0.671554284716092,0.06521440002829884,0.0798802276819028,5.0067901611328125e-6,1.3113021850585938e-5,9.059906005859375e-6,9.5367431640625e-7,23.586097955703735,5.0067901611328125e-5,0.0,9.5367431640625e-7
10,282.70139813423157,6,5,0.5808931,0.5129258,0.5764275554032956,0.5026977534019236,0.43479996778157337,0.3224916516545984,0.6797263214242126,0.06695324406328174,0.08100662337153856,0.0,2.6226043701171875e-5,1.3828277587890625e-5,2.1457672119140625e-6,23.59813690185547,6.890296936035156e-5,259.10290002822876,7.152557373046875e-6
