stride_idx,level,beta_pre,beta_post,delta_beta,beta_max,ess_at_dbeta_chosen,n_smc,theta_dim,chees_L_chosen,chees_score_best,chees_L_candidates,chees_scores,eps_step_size,n_mcmc_moves,total_accepts,accept_frac,log_density_pre_mean,log_density_post_mean,delta_log_density,esjd_total,esjd_per_eps_L,wall_seconds_level
2,1,0.0,1.7272736629927559,1.7272736629927559,8.636368314963779,178.15111946238105,256,16,16,37.07859876538382,16;32;64;128;256,37.07859876538382;15.715417483239976;10.883287726034062;3.814530381494657;2.851615365230509,0.2,8,2045,0.99853515625,-0.2228016373983337,0.23685037813447707,0.45965201553281076,67.19644249255083,20.998888278922134,2.5253210067749023
2,2,1.7272736629927559,3.4545473259855117,1.7272736629927559,8.636368314963779,229.55336656949518,256,16,16,37.00515959975614,16;32;64;128;256,37.00515959975614;17.166706509583246;9.589231295965522;2.2155542896799276;2.771786072766004,0.2,8,2028,0.990234375,0.23685037813447707,0.31535378611533815,0.07850340798086108,67.60666917378472,21.127084116807726,2.2679548263549805
2,3,3.4545473259855117,5.181820988978267,1.7272736629927556,8.636368314963779,240.99584899141567,256,16,16,27.762034314734322,16;32;64;128;256,27.762034314734322;12.512504508013551;8.586016250792099;2.369104730426243;1.984510122820884,0.2,8,2035,0.99365234375,0.31535378611533815,0.3675136683450546,0.05215988222971646,65.85017186603173,20.578178708134914,2.4107470512390137
2,4,5.181820988978267,6.9090946519710235,1.727273662992756,8.636368314963779,247.06003110676815,256,16,16,31.477440616842667,16;32;64;128;256,31.477440616842667;10.50558865051179;8.074182255930802;1.9666689149201884;1.4922754223656238,0.2,8,2034,0.9931640625,0.3675136683450546,0.3901354015833931,0.022621733238338493,62.194085328949456,19.435651665296703,2.3546230792999268
2,5,6.9090946519710235,8.636368314963779,1.7272736629927552,8.636368314963779,249.81727954897272,256,16,16,31.73462776530511,16;32;64;128;256,31.73462776530511;9.960862119804094;6.277184452478897;2.512359394412098;1.4791802785743304,0.2,8,2022,0.9873046875,0.3901354015833931,0.41333030336954835,0.023194901786155242,63.59540836895647,19.873565115298895,2.296612024307251
4,1,0.0,1.8571283261246945,1.8571283261246945,9.285641630623472,173.62878180830953,256,16,16,21.795599349388976,16;32;64;128;256,21.795599349388976;8.781364610595514;6.203033923524118;2.503683690335963;1.331038589211984,0.2,8,2038,0.9951171875,-0.2682044236917136,0.18757403409745166,0.45577845778916526,64.73523147642322,20.229759836382257,2.3687992095947266
4,2,1.8571283261246945,3.714256652249389,1.8571283261246945,9.285641630623472,229.03107574578016,256,16,16,27.928058789971075,16;32;64;128;256,27.928058789971075;12.59646406760931;7.860708001772883;3.4194870799028747;1.9763290953882202,0.2,8,2029,0.99072265625,0.18757403409745166,0.28612705768864544,0.09855302359119378,64.38161297248253,20.11925405390079,2.4301321506500244
4,3,3.714256652249389,5.571384978374083,1.8571283261246943,9.285641630623472,243.01017205556633,256,16,16,33.0445948876202,16;32;64;128;256,33.0445948876202;12.941743732914993;8.443150987447773;2.123389390771816;2.420940127074266,0.2,8,2038,0.9951171875,0.28612705768864544,0.3132657048290639,0.02713864714041847,65.76676190701443,20.55211309594201,2.461686134338379
4,4,5.571384978374083,7.428513304498778,1.8571283261246947,9.285641630623472,246.9180504971757,256,16,16,31.476139964472573,16;32;64;128;256,31.476139964472573;13.182157608404328;6.713111059844937;2.785204449566983;2.2127708811212385,0.2,8,2035,0.99365234375,0.3132657048290639,0.3340418880452489,0.020776183216185018,62.19787849309223,19.436837029091322,2.3171069622039795
4,5,7.428513304498778,9.285641630623472,1.8571283261246938,9.285641630623472,249.6814473742453,256,16,16,23.52033886556307,16;32;64;128;256,23.52033886556307;9.868833337802512;6.164369705125134;2.211949628833111;1.642269941586037,0.2,8,2029,0.99072265625,0.3340418880452489,0.34610018991133984,0.012058301866090915,62.88621313804455,19.65194160563892,2.3729429244995117
6,1,0.0,1.6395514077117228,1.6395514077117228,8.197757038558613,175.56178364580015,256,16,16,34.087468926800746,16;32;64;128;256,34.087468926800746;13.610813866656258;7.258884203114562;2.2282216467195033;1.3933944281175255,0.2,8,2037,0.99462890625,-0.38084157551293174,0.07455268945705029,0.45539426496998203,68.23745391501191,21.32420434844122,2.2138938903808594
6,2,1.6395514077117228,3.2791028154234456,1.6395514077117228,8.197757038558613,224.71259915211323,256,16,16,39.86967041362228,16;32;64;128;256,39.86967041362228;13.153563979410938;10.327913487756874;2.7538824177730796;2.850838603422227,0.2,8,2040,0.99609375,0.07455268945705029,0.2117246648631408,0.1371719754060905,67.13353530978236,20.979229784306987,2.3286149501800537
6,3,3.2791028154234456,4.918654223135168,1.6395514077117226,8.197757038558613,242.42992963708824,256,16,16,29.011418527309733,16;32;64;128;256,29.011418527309733;13.755844760021605;8.09610821460054;2.3538487252663796;2.119618062300237,0.2,8,2034,0.9931640625,0.2117246648631408,0.25288024273231713,0.04115557786917634,64.76923730253111,20.240386657040972,2.358509063720703
6,4,4.918654223135168,6.558205630846891,1.639551407711723,8.197757038558613,246.4561784427187,256,16,16,30.877444163993122,16;32;64;128;256,30.877444163993122;14.949137645873986;8.729901098652352;2.7361999024455574;2.215560241625183,0.2,8,2029,0.99072265625,0.25288024273231713,0.28940633195270493,0.0365260892203878,63.78151392004995,19.93172310001561,2.2775988578796387
6,5,6.558205630846891,8.197757038558613,1.6395514077117221,8.197757038558613,250.52336055894114,256,16,16,31.74680337274168,16;32;64;128;256,31.74680337274168;13.208874168823774;8.67643184931541;2.8492326076701135;1.988745301215803,0.2,8,2031,0.99169921875,0.28940633195270493,0.30469278217788087,0.01528645022517594,62.672985103187365,19.58530784474605,2.335200071334839
8,1,0.0,1.6130373777958322,1.6130373777958322,8.065186888979161,162.60199090831523,256,16,16,36.477818573160675,16;32;64;128;256,36.477818573160675;13.602514283022064;10.600771545821665;3.5987940342885496;2.5802622697944297,0.2,8,2038,0.9951171875,-0.5079293690391751,-0.012261813977602287,0.4956675550615728,65.0692153940708,20.334129810647124,2.2976138591766357
8,2,1.6130373777958322,3.2260747555916645,1.6130373777958322,8.065186888979161,213.8001245566714,256,16,16,33.235928459257714,16;32;64;128;256,33.235928459257714;12.511052723933759;8.256773861438734;2.1345809241805904;2.1000698202009644,0.2,8,2027,0.98974609375,-0.012261813977602287,0.19349559823876916,0.20575741221637145,63.73834833259257,19.918233853935178,2.301964044570923
8,3,3.2260747555916645,4.839112133387497,1.6130373777958322,8.065186888979161,240.3948804562036,256,16,16,41.43456050375184,16;32;64;128;256,41.43456050375184;17.153583585228006;11.273012454337962;2.8384241481538486;3.0641058192933355,0.2,8,2035,0.99365234375,0.19349559823876916,0.25490589623677806,0.0614102979980089,64.14974317539979,20.046794742312432,2.2953929901123047
8,4,4.839112133387497,6.452149511183329,1.6130373777958322,8.065186888979161,247.56802374150254,256,16,16,29.60968658625899,16;32;64;128;256,29.60968658625899;12.483301428809508;9.284010604866255;2.207864166018245;2.155528991748738,0.2,8,2030,0.9912109375,0.25490589623677806,0.27242965190816903,0.017523755671390973,63.24739407336837,19.764810647927614,2.3355350494384766
8,5,6.452149511183329,8.065186888979161,1.6130373777958322,8.065186888979161,249.6883223719811,256,16,16,28.295875437932498,16;32;64;128;256,28.295875437932498;11.24041409904943;7.979761347693752;1.6549467985462496;1.35129346330077,0.2,8,2026,0.9892578125,0.27242965190816903,0.29825516807250096,0.02582551616433193,59.71828702690333,18.66196469590729,2.3018438816070557
10,1,0.0,1.9334838916099528,1.9334838916099528,9.667419458049764,153.3733250415354,256,16,16,39.556159713862925,16;32;64;128;256,39.556159713862925;11.701440836570406;10.658686987936711;2.9431115718079006;3.0107479720347428,0.2,8,2031,0.99169921875,-0.5256503532932584,0.036003891078962624,0.561654244372221,66.37897616123992,20.743430050387474,2.270905017852783
10,2,1.9334838916099528,3.8669677832199056,1.9334838916099528,9.667419458049764,215.29244371840082,256,16,16,28.981208137763154,16;32;64;128;256,28.981208137763154;13.775583611335529;8.75689274117025;2.6037540341728542;2.2217996852669066,0.2,8,2030,0.9912109375,0.036003891078962624,0.20020673116050602,0.1642028400815434,65.91332693970631,20.59791466865822,2.3390750885009766
10,3,3.8669677832199056,5.8004516748298585,1.9334838916099528,9.667419458049764,239.31636440762477,256,16,16,26.446278049346585,16;32;64;128;256,26.446278049346585;12.64884707994863;6.796093161780505;2.1608599215005158;1.7601221462372578,0.2,8,2024,0.98828125,0.20020673116050602,0.23775488395767752,0.0375481527971715,65.86164261953242,20.58176331860388,2.3210630416870117
10,4,5.8004516748298585,7.733935566439811,1.9334838916099528,9.667419458049764,245.46525996702098,256,16,16,34.34970640957285,16;32;64;128;256,34.34970640957285;12.708585042610798;8.020799756482369;3.18868421410772;1.864281670196442,0.2,8,2032,0.9921875,0.23775488395767752,0.2642829551041359,0.026528071146458387,62.602005718420436,19.563126787006386,2.3259310722351074
10,5,7.733935566439811,9.667419458049764,1.9334838916099528,9.667419458049764,249.76921045620952,256,16,16,29.998739175640175,16;32;64;128;256,29.998739175640175;11.709456999302033;7.190852100077663;2.5323274069716915;1.8190666734229146,0.2,8,2025,0.98876953125,0.2642829551041359,0.27774583216478277,0.01346287706064686,60.96028560963624,19.050089253011322,2.3591670989990234
12,1,0.0,1.4164368619198733,1.4164368619198733,7.0821843095993655,163.53713406311473,256,16,16,32.02203760688781,16;32;64;128;256,32.02203760688781;11.747214919506913;9.030644010692459;2.6935251300431755;2.25262362020594,0.2,8,2034,0.9931640625,-0.7354285505634834,-0.12004433408264958,0.6153842164808339,67.81914925112322,21.193484140976004,2.25370192527771
12,2,1.4164368619198733,2.8328737238397466,1.4164368619198733,7.0821843095993655,220.61143695615476,256,16,16,33.40478990637201,16;32;64;128;256,33.40478990637201;15.524476324714378;9.573691016671846;3.464020732964163;2.4994032613577755,0.2,8,2028,0.990234375,-0.12004433408264958,0.06495830708672656,0.18500264116937615,64.06766545297097,20.02114545405343,2.313628911972046
12,3,2.8328737238397466,4.24931058575962,1.4164368619198733,7.0821843095993655,241.5298048509706,256,16,16,37.950410066477346,16;32;64;128;256,37.950410066477346;12.93588856793762;9.737651871347156;2.9725468381857265;2.5721524108957983,0.2,8,2033,0.99267578125,0.06495830708672656,0.12386530427920661,0.05890699719248005,64.04930751592845,20.01540859872764,2.3380861282348633
12,4,4.24931058575962,5.665747447679493,1.4164368619198733,7.0821843095993655,246.9748873370391,256,16,16,31.936553301815362,16;32;64;128;256,31.936553301815362;11.980403537427746;8.008141382993138;2.75718430709371;2.037326837718498,0.2,8,2033,0.99267578125,0.12386530427920661,0.1453630529590555,0.021497748679848883,65.25531885221329,20.392287141316654,2.3124160766601562
12,5,5.665747447679493,7.0821843095993655,1.4164368619198724,7.0821843095993655,249.64904619481612,256,16,16,35.04467431583218,16;32;64;128;256,35.04467431583218;12.701705350649688;10.08759480642028;2.8700200465122836;2.3318735651997504,0.2,8,2033,0.99267578125,0.1453630529590555,0.1651043036554256,0.019741250696370116,61.21970512053842,19.131157850168254,2.2666828632354736
