stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi_B,daily_phi_S,A_mean_so_far,B_end,S_end,F_end,A_end,KFB_end,KFS_end
1,0.20081114768981934,0,0,1.0,1.0,0.09790265716915138,0.057578670618512226,0.10429441956841405,0.3133731490629026,0.09110623873934215,0.0326794977616164,0.0523075456968216
2,63.552391052246094,11,5,1.0,1.0,0.09224811433062045,0.06171108358022133,0.10886742302385435,0.3315239074219715,0.07947372892352582,0.03443758294360644,0.054548264709335555
3,24.79009199142456,6,0,0.74670464,0.44504467,0.08705517621703115,0.06841163390665041,0.10808312985785086,0.3315189028812107,0.0751390384246843,0.03538905196866823,0.05606456364778476
4,32.784188985824585,5,5,0.6523966,0.37405613,0.08287597019370563,0.07151549009427136,0.11032197125321248,0.3290414339506605,0.0667060050060983,0.03705467462813088,0.05680522153252691
5,20.657028198242188,5,0,0.69872355,0.49605027,0.07963329486160557,0.08002279927129513,0.10947325462499496,0.3432141698156475,0.06677980587018782,0.03839087903242076,0.05839531272711263
6,32.473896980285645,5,5,0.5933997,0.41889915,0.07735072912269902,0.08164261330678138,0.11014539078098562,0.3389484528209794,0.06337340224610255,0.04004340775348797,0.0591445899421088
7,20.30756902694702,5,0,0.6706824,0.48677683,0.07503801812680161,0.08420642210618105,0.10871120601532747,0.3397171904523668,0.056611219697141786,0.041306190121184146,0.06078139923846958
8,31.914774179458618,5,5,0.60365134,0.41329312,0.0728831219327795,0.08830901897552627,0.11007026781159611,0.3451134140154154,0.057886300988710095,0.04237777544759079,0.062062047483441254
9,23.992555856704712,6,0,0.5526366,0.46645567,0.0705952596011576,0.08878803620235608,0.11094271791060642,0.3425019464991527,0.05197715222060906,0.04270313211600025,0.062372474669634456
10,31.957165002822876,5,5,0.48652947,0.36808372,0.06852826955497418,0.09152025291890344,0.10969651447165475,0.34252139629968964,0.04621071258169047,0.04452549097195402,0.06348805292416218
11,20.854553937911987,5,0,0.58375293,0.45341137,0.06627057935878933,0.08828169175896057,0.10882001958789579,0.34002469043827555,0.04343241950855016,0.047060523470734174,0.06377024396245257
12,32.64107799530029,5,5,0.50606495,0.35711798,0.06431897323770848,0.0953761656714413,0.11137001264991762,0.3422136981144502,0.04022690056018607,0.04896388802060759,0.0634521038012163
13,21.547422885894775,5,0,0.53911763,0.47875056,0.06255066265358078,0.09940497710452983,0.11133746829561458,0.3493475247616826,0.04158629327330072,0.05132651632875006,0.06393908127211605
