timestamp,gpu_util_percent,memory_used_mib
2026-05-08_22-34-47,1,5515
2026-05-08_22-34-48,1,5518
2026-05-08_22-34-49,1,5547
2026-05-08_22-34-50,1,5547
2026-05-08_22-34-51,2,5651
2026-05-08_22-34-53,1,5646
2026-05-08_22-34-54,1,5646
2026-05-08_22-34-55,1,5646
2026-05-08_22-34-56,1,7838
2026-05-08_22-34-57,1,7837
2026-05-08_22-34-58,2,7818
2026-05-08_22-34-59,1,7818
2026-05-08_22-35-00,1,7818
2026-05-08_22-35-01,1,7818
2026-05-08_22-35-02,100,9936
2026-05-08_22-35-03,100,9936
2026-05-08_22-35-04,100,9936
2026-05-08_22-35-05,100,9936
2026-05-08_22-35-06,100,9963
2026-05-08_22-35-07,100,9960
2026-05-08_22-35-08,100,9960
2026-05-08_22-35-09,100,9960
2026-05-08_22-35-10,100,9960
2026-05-08_22-35-11,4,9924
2026-05-08_22-35-12,1,9924
2026-05-08_22-35-13,1,9924
2026-05-08_22-35-14,1,9924
2026-05-08_22-35-15,2,9934
2026-05-08_22-35-16,1,9934
2026-05-08_22-35-17,0,9932
2026-05-08_22-35-18,1,9932
2026-05-08_22-35-19,1,9932
2026-05-08_22-35-20,2,9951
2026-05-08_22-35-22,1,9951
2026-05-08_22-35-23,1,9951
2026-05-08_22-35-24,100,9984
2026-05-08_22-35-25,1,9982
2026-05-08_22-35-26,1,9977
2026-05-08_22-35-27,1,9977
2026-05-08_22-35-28,1,9977
2026-05-08_22-35-29,1,9955
2026-05-08_22-35-30,1,9963
2026-05-08_22-35-31,1,9961
2026-05-08_22-35-32,1,9960
2026-05-08_22-35-33,1,9960
2026-05-08_22-35-34,0,9954
2026-05-08_22-35-35,1,9954
2026-05-08_22-35-36,1,9955
2026-05-08_22-35-37,100,9959
2026-05-08_22-35-38,100,9981
2026-05-08_22-35-39,100,9984
2026-05-08_22-35-40,100,9974
2026-05-08_22-35-41,100,9974
2026-05-08_22-35-42,100,9974
2026-05-08_22-35-43,100,9942
2026-05-08_22-35-44,100,9936
2026-05-08_22-35-45,100,9936
2026-05-08_22-35-46,5,9936
2026-05-08_22-35-47,1,9936
2026-05-08_22-35-48,1,9936
2026-05-08_22-35-49,1,9936
2026-05-08_22-35-51,1,9936
2026-05-08_22-35-52,1,9936
2026-05-08_22-35-53,1,9940
2026-05-08_22-35-54,1,9940
2026-05-08_22-35-55,0,9940
2026-05-08_22-35-56,1,9940
2026-05-08_22-35-57,1,9940
2026-05-08_22-35-58,1,9940
2026-05-08_22-35-59,1,9944
2026-05-08_22-36-00,1,9979
2026-05-08_22-36-01,1,9988
2026-05-08_22-36-02,1,9983
2026-05-08_22-36-03,2,4983
2026-05-08_22-36-04,1,4983
2026-05-08_22-36-05,1,4946
2026-05-08_22-36-06,3,4940
2026-05-08_22-36-07,3,4941
2026-05-08_22-36-08,10,4948
2026-05-08_22-36-09,6,4949
2026-05-08_22-36-10,7,4984
2026-05-08_22-36-11,5,4974
2026-05-08_22-36-12,9,4974
2026-05-08_22-36-14,9,4974
2026-05-08_22-36-15,9,4942
2026-05-08_22-36-16,9,4942
2026-05-08_22-36-17,9,4942
2026-05-08_22-36-18,6,4959
