stride_idx,level,beta_pre,beta_post,delta_beta,beta_max,ess_at_dbeta_chosen,n_smc,theta_dim,chees_L_chosen,chees_score_best,chees_L_candidates,chees_scores,eps_step_size,n_mcmc_moves,total_accepts,accept_frac,log_density_pre_mean,log_density_post_mean,delta_log_density,esjd_total,esjd_per_eps_L,wall_seconds_level
2,1,0.0,0.009088446309121537,0.009088446309121537,0.048486329346598904,64.00000000928551,128,16,16,30.71857898452814,16;32;64;128,30.71857898452814;6.054117165766644;3.115379452173204;1.5967362092490538,0.2,2,240,0.9375,-83.60104473750107,37.5417685857974,121.14281332329847,45.721337884889785,14.287918089028057,6.811050891876221
2,2,0.009088446309121537,0.01878571217844132,0.009697265869319783,0.048486329346598904,98.62335704596512,128,16,16,32.08069280120515,16;32;64;128,32.08069280120515;9.795512862458363;4.561344712872965;0.9205146843404741,0.2,2,227,0.88671875,37.5417685857974,91.80093180853873,54.259163222741336,46.99002962446628,14.684384257645712,6.453649997711182
2,3,0.01878571217844132,0.0284829780477611,0.00969726586931978,0.048486329346598904,120.87364925348183,128,16,16,19.658039172274275,16;32;64;128,19.658039172274275;7.805287099410281;4.119691837605417;0.3026244016796476,0.2,2,217,0.84765625,91.80093180853873,97.29278860869817,5.4918568001594394,41.96143912657034,13.11294972705323,6.489552021026611
2,4,0.0284829780477611,0.03818024391708088,0.00969726586931978,0.048486329346598904,122.20708502850357,128,16,16,28.15813669397267,16;32;64;128,28.15813669397267;4.057392388753159;3.9578465677080543;0.45363824819457677,0.2,2,213,0.83203125,97.29278860869817,102.32478128816001,5.031992679461837,46.43911160330141,14.51222237603169,6.318624973297119
2,5,0.03818024391708088,0.04787750978640066,0.00969726586931978,0.048486329346598904,124.27277570395384,128,16,16,30.978819087425045,16;32;64;128,30.978819087425045;9.609662000078684;5.036709261165351;1.2300957980409108,0.2,2,219,0.85546875,102.32478128816001,105.52733400790021,3.202552719740197,42.71586915053958,13.348709109543618,6.311831951141357
2,6,0.04787750978640066,0.048486329346598904,0.0006088195601982455,0.048486329346598904,127.9892392072145,128,16,16,28.312793269503093,16;32;64;128,28.312793269503093;7.518306970465978;3.85245614519076;0.7179935454342066,0.2,2,223,0.87109375,105.52733400790021,105.09414420509711,-0.43318980280309916,44.6185864031455,13.943308250982968,6.383861064910889
4,1,0.0,0.00853877747530476,0.00853877747530476,0.04385688844141386,64.00000003481532,128,16,16,30.452995966788187,16;32;64;128,30.452995966788187;8.281346508836199;6.71235185334139;1.0550437323542623,0.2,2,239,0.93359375,-102.06319164531305,34.07600169745274,136.1391933427658,46.98873825928368,14.68398070602615,6.345392942428589
4,2,0.00853877747530476,0.017310155163587533,0.008771377688282773,0.04385688844141386,100.59464894084991,128,16,16,30.79847661036425,16;32;64;128,30.79847661036425;7.501946640598898;2.8635289191761015;2.5338166538091142,0.2,2,225,0.87890625,34.07600169745274,77.92465058236849,43.84864888491575,47.89498741920806,14.967183568502517,6.579919099807739
4,3,0.017310155163587533,0.026081532851870308,0.008771377688282775,0.04385688844141386,115.16235992934462,128,16,16,11.809710548208985,16;32;64;128,11.809710548208985;5.414530967943025;2.801840275924974;1.1556127417745259,0.2,2,225,0.87890625,77.92465058236849,97.5620757327415,19.63742515037302,47.33433071261483,14.791978347692133,6.340865850448608
4,4,0.026081532851870308,0.03485291054015308,0.008771377688282775,0.04385688844141386,123.17892674917893,128,16,16,20.87430621589921,16;32;64;128,20.87430621589921;6.851652814135033;3.0399709145099543;0.8985454097407828,0.2,2,224,0.875,97.5620757327415,101.3393037780188,3.7772280452772975,47.48584927802986,14.839327899384331,6.322203874588013
4,5,0.03485291054015308,0.04362428822843586,0.008771377688282775,0.04385688844141386,124.54819388254454,128,16,16,26.12202929941437,16;32;64;128,26.12202929941437;5.866929625907776;2.8696666996771922;1.577581886661971,0.2,2,223,0.87109375,101.3393037780188,105.1825444069691,3.843240628950298,47.40475185297446,14.813984954054517,6.365779876708984
4,6,0.04362428822843586,0.04385688844141386,0.00023260021297800276,0.04385688844141386,127.99696585301889,128,16,16,25.102894678904022,16;32;64;128,25.102894678904022;4.848208907233996;4.24763350576737;0.6949076906581505,0.2,2,227,0.88671875,105.1825444069691,106.51769788516685,1.3351534781977534,44.0333121750332,13.760410054697875,6.448855876922607
6,1,0.0,0.008665168106739857,0.008665168106739857,0.05277858512427203,64.0000000021395,128,16,16,25.50517315698731,16;32;64;128,25.50517315698731;8.664619131917577;4.5163762424217735;1.287168983097301,0.2,2,232,0.90625,-83.05104712839238,57.892954248702154,140.94400137709454,45.72683511542145,14.289635973569203,6.541414022445679
6,2,0.008665168106739857,0.019220885131594263,0.010555717024854406,0.05277858512427203,100.49165050115342,128,16,16,31.834209558568343,16;32;64;128,31.834209558568343;7.027131208999304;3.679746263332798;1.2302486019605519,0.2,2,217,0.84765625,57.892954248702154,99.95722828852013,42.064274039817974,43.99005453588658,13.746892042464555,6.636389970779419
6,3,0.019220885131594263,0.029776602156448673,0.01055571702485441,0.05277858512427203,117.7749298260273,128,16,16,23.258177700627172,16;32;64;128,23.258177700627172;6.647113655539796;3.3566469891780386;0.6946426327773231,0.2,2,214,0.8359375,99.95722828852013,111.33368764910847,11.376459360588342,50.5495386269042,15.796730820907563,6.431351900100708
6,4,0.029776602156448673,0.04033231918130308,0.01055571702485441,0.05277858512427203,123.48426832897836,128,16,16,20.810029306083948,16;32;64;128,20.810029306083948;10.009917079791476;4.019027400825504;1.1514961577883203,0.2,2,223,0.87109375,111.33368764910847,115.71868919488043,4.385001545771956,46.08958003230353,14.402993760094853,6.447052001953125
6,5,0.04033231918130308,0.05088803620615749,0.01055571702485441,0.05277858512427203,125.9276573894994,128,16,16,23.476694115269392,16;32;64;128,23.476694115269392;6.7816572876292165;3.7114420516417947;1.094632337337529,0.2,2,226,0.8828125,115.71868919488043,116.43756627105176,0.7188770761713386,43.13804910937046,13.48064034667827,6.496352910995483
6,6,0.05088803620615749,0.05277858512427203,0.0018905489181145416,0.05277858512427203,127.9151128735955,128,16,16,26.293685593463913,16;32;64;128,26.293685593463913;6.211403034656849;3.1453523383368474;0.7751133549259022,0.2,2,219,0.85546875,116.43756627105176,116.23732616845518,-0.20024010259658098,44.15489938483962,13.79840605776238,6.358048915863037
8,1,0.0,0.009098778619136062,0.009098778619136062,0.047354317008681555,64.00000001114009,128,16,16,28.69704138814118,16;32;64;128,28.69704138814118;10.82798968486904;8.071770803317808;0.4916803623752489,0.2,2,229,0.89453125,-87.72660957626067,39.9953161298763,127.72192570613697,51.36167181555858,16.050522442362055,6.432199001312256
8,2,0.009098778619136062,0.018569642020872374,0.009470863401736312,0.047354317008681555,100.47474876930089,128,16,16,20.397503979308524,16;32;64;128,20.397503979308524;7.602583696226537;2.8470400182916555;0.8548145133714041,0.2,2,218,0.8515625,39.9953161298763,85.33354769065045,45.33823156077415,50.36676701400189,15.73961469187559,6.327528953552246
8,3,0.018569642020872374,0.028040505422608684,0.00947086340173631,0.047354317008681555,119.16439261709208,128,16,16,20.418183726311803,16;32;64;128,20.418183726311803;5.405620549865537;2.435947351641833;1.2138176404872254,0.2,2,211,0.82421875,85.33354769065045,92.12471415754408,6.791166466893628,53.1565974370323,16.611436699072595,6.323498964309692
8,4,0.028040505422608684,0.037511368824345,0.009470863401736314,0.047354317008681555,120.90507256843354,128,16,16,23.51252093362324,16;32;64;128,23.51252093362324;6.2983072512681755;1.8229319009386125;1.4012738225426202,0.2,2,218,0.8515625,92.12471415754408,103.84174739685841,11.717033239314333,52.72018495627523,16.47505779883601,6.3820061683654785
8,5,0.037511368824345,0.04698223222608131,0.009470863401736314,0.047354317008681555,125.21046996737364,128,16,16,20.361341030167395,16;32;64;128,20.361341030167395;5.1450528636664545;3.578664970528708;0.7317380755427394,0.2,2,214,0.8359375,103.84174739685841,105.66293155681342,1.8211841599550098,41.831670670793955,13.07239708462311,6.321058988571167
8,6,0.04698223222608131,0.047354317008681555,0.00037208478260024325,0.047354317008681555,127.99682993955993,128,16,16,25.718641601860508,16;32;64;128,25.718641601860508;8.635740202677024;4.935426235455777;0.7491597710459208,0.2,2,217,0.84765625,105.66293155681342,106.3222802374512,0.6593486806377769,49.58080791243633,15.494002472636351,6.326559066772461
10,1,0.0,0.009157501644334704,0.009157501644334704,0.053691185826202324,64.00000002741959,128,16,16,39.594147166556226,16;32;64;128,39.594147166556226;11.285732326894454;5.897799395290044;1.7115838319428593,0.2,2,235,0.91796875,-84.31737280730158,40.092615076107904,124.40998788340949,52.374805693883935,16.36712677933873,6.317011117935181
10,2,0.009157501644334704,0.019895738809575167,0.010738237165240463,0.053691185826202324,99.73788511427614,128,16,16,21.64567318900416,16;32;64;128,21.64567318900416;8.411002055060441;4.04055415340774;0.3167414928047388,0.2,2,224,0.875,40.092615076107904,82.24314032192342,42.150525245815516,48.807129859465974,15.252228081083116,6.326117038726807
