stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi_B,daily_phi_S,A_mean_so_far,B_end,S_end,F_end,A_end,KFB_end,KFS_end
1,0.2095179557800293,0,0,1.0,1.0,0.46994303228159234,0.5056420807006312,0.45239418646350965,0.2396305635317481,0.47796601581514037,0.06205055986995611,0.07180890244739321
2,60.031553983688354,9,6,1.0,1.0,0.48014646956548157,0.5038613871919895,0.45526816248180585,0.2792167106124095,0.4946139422619946,0.0628751970339331,0.07356110279359278
3,6.62736701965332,5,0,0.17288859,0.13676904,0.48987558718806923,0.50490486088634,0.4494087829971424,0.2607479451839437,0.5264284638269933,0.06147419053228357,0.0739453661546835
4,44.683192014694214,5,6,0.17075999,0.13432164,0.5012602518219277,0.5000130782383353,0.4488681283446514,0.2437171782618121,0.5464050422397743,0.06138255159276072,0.07366722972412726
5,6.7918009757995605,5,0,0.19309337,0.17559628,0.5146697489060063,0.5051246085936361,0.442853831662956,0.23949224400893368,0.5898569475568799,0.06084517204595121,0.0741358033057372
6,46.87592697143555,6,6,0.19104052,0.17313714,0.5304405031044832,0.4986109478276625,0.43979244276353446,0.22330112268434274,0.6224906331822957,0.06106820224484165,0.07390004145761457
7,6.853940010070801,5,0,0.22409636,0.19018508,0.5456919611332021,0.4933630277494902,0.43306865466687217,0.21043100169987125,0.6430650895305503,0.06070005597823202,0.07453363102788312
8,44.61406397819519,5,6,0.22276604,0.18677604,0.5610327406499225,0.491737770959427,0.43127110223332155,0.2040930241449268,0.6889132014305126,0.06034495729436191,0.07498462484447223
9,8.312806129455566,6,0,0.21864344,0.16309907,0.5753547899043855,0.48436564617601524,0.42829848153257943,0.1906096264786338,0.7086242858181696,0.059277513744836606,0.07418985222738543
10,46.30546998977661,6,6,0.21722353,0.16097659,0.5898952281751926,0.4817464716410415,0.42263339060190497,0.18277175001528803,0.7253955369167235,0.06020195462546328,0.07455645733905429
11,7.676409006118774,6,0,0.20391689,0.17117675,0.6030607356529946,0.4677067057232656,0.41708815084642714,0.17008636408338995,0.7518150578823791,0.06164353425400198,0.07383716269975155
12,44.79442501068115,5,6,0.2014667,0.16833253,0.6167578593316451,0.4725247431733564,0.41758929590108507,0.1642984937690827,0.7733223622148563,0.06259553521865634,0.07275237556506181
13,8.081637144088745,6,0,0.1956491,0.1517442,0.6304857175555713,0.47165190107645466,0.41321582229220966,0.15815871247360377,0.8122130824010597,0.06397371044433613,0.07218576113140256
14,45.06391215324402,5,6,0.19405757,0.14938317,0.6434858484999181,0.47062385564578646,0.4059239490716402,0.1567486934402197,0.8196577905571086,0.06272445642071342,0.07250596181568274
15,6.787725925445557,5,0,0.23473595,0.19506264,0.6559265915976354,0.4642654185903787,0.40552112417192326,0.14870211611878387,0.8465397529383883,0.063427535170915,0.07222440588891012
16,45.180707931518555,5,6,0.23118746,0.19155383,0.668267309822554,0.46152620082227125,0.39891969566646207,0.1457695607769314,0.8509663163590546,0.06432246691916652,0.07238294815998246
17,8.235442161560059,6,0,0.24372272,0.14301574,0.6795097087037737,0.45097911764215476,0.3979550659204813,0.13594829441620768,0.8565469352214896,0.06412144437457284,0.07428455541584607
18,38.571511030197144,5,5,0.24229366,0.14082354,0.6908306191785862,0.44254001296106893,0.3907304920452945,0.13123232412953018,0.9038269259058486,0.06359677615100727,0.07445594029100316
19,6.593577146530151,5,0,0.2013679,0.17357986,0.7023908485360727,0.43439999817337616,0.38937743615402354,0.124362625259757,0.9051497969231066,0.06133096321359497,0.07328477009584367
20,44.9898579120636,5,6,0.20005067,0.17130058,0.7130411553275737,0.43204746863754756,0.39127642119855033,0.11813591159231952,0.9207217523080484,0.060365640577192785,0.0718289361382826
21,8.196784973144531,6,0,0.2350629,0.15305415,0.723059013746288,0.43470772514371675,0.391145787229706,0.11497423589925994,0.9306524977085027,0.06046515651225219,0.07036633622363934
22,45.11891508102417,5,6,0.23312509,0.15096508,0.7328623678988753,0.4313755146654629,0.38363214902025056,0.11299453284149762,0.9494014307871914,0.06192625577979836,0.07117151563394282
23,6.96337103843689,5,0,0.23015518,0.17008369,0.7436545630077337,0.4276843781973891,0.38132742016268506,0.10869987214793961,0.996680807274964,0.06042050065305738,0.073337617972187
24,44.89715600013733,5,6,0.22852637,0.16803813,0.7542605279237767,0.41905400521011565,0.3806512947271415,0.10481461156850787,1.0028384988209194,0.059987185826319914,0.07238232566225497
25,6.817049980163574,5,0,0.22636986,0.1469339,0.7641132334966602,0.4145269774654693,0.37941589569739687,0.10036641632640336,1.0105101928999387,0.06049994872360297,0.07469865515240409
26,45.35574388504028,5,6,0.22491609,0.14486206,0.773508719609227,0.41141269509524475,0.37882180499902335,0.09944860615834131,1.0215562885868321,0.059971216563157716,0.07407053590217548
27,7.215224027633667,5,0,0.24945897,0.17410433,0.7825148696075033,0.4060864038889379,0.37366700874239844,0.0982264956551297,1.0189657128194027,0.05947286494230454,0.07310387626929464
28,45.045462131500244,5,6,0.2473648,0.17199843,0.7904949640939402,0.40007217290214947,0.3698480338633649,0.09664871070522629,0.9988104971118957,0.05808151792829482,0.07311739115327974
29,7.767742872238159,6,0,0.20213352,0.16420192,0.7976651444526535,0.3984531235263948,0.3660262863144169,0.09215099998831866,0.9924309305057326,0.0579648016139198,0.07299204646578289
30,45.53302621841431,5,6,0.20074016,0.16241224,0.8041199802824919,0.3976481203874518,0.36477648664862083,0.09496277914993669,0.9966792485338007,0.057713257916636326,0.07232716626489281
31,8.260708093643188,6,0,0.23779833,0.16550924,0.8101533157102588,0.39497181758491157,0.3658429575115303,0.09471792181183954,0.9846360555573939,0.0576576702929811,0.07321371545712824
32,46.59215307235718,6,6,0.23635656,0.163638,0.8155672701494167,0.3901472018837854,0.36230261696033356,0.09221083032990211,0.9782397422954316,0.05621247822691643,0.07253377979211437
33,8.22020697593689,6,0,0.20548971,0.18063359,0.8204820973420349,0.3871337706226529,0.361022416124391,0.08750094010409128,0.9685023733055073,0.05404379200937318,0.07270421042824719
34,46.22001385688782,6,6,0.203692,0.17691015,0.8246588400282703,0.3834837576682989,0.3576861976532579,0.08397960693251134,0.9461087093934792,0.05322017108816307,0.07146220378418905
35,7.92473292350769,6,0,0.20321967,0.17494851,0.8276659687730672,0.3818275959556092,0.35418896281918144,0.08349579677768904,0.9250659451433066,0.05236788620917785,0.06920537912087239
36,46.4555549621582,6,6,0.20124967,0.17196225,0.8308240495778363,0.37701900114751186,0.350473631980791,0.0846543598318687,0.9523826318016366,0.053724225789843934,0.06956142133384666
37,6.655990123748779,5,0,0.2289546,0.16598848,0.8334489339649783,0.37957541570405334,0.3445105754736,0.08509595868714709,0.9177047602349403,0.0538404082305972,0.07081160377922369
