stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi,A_mean_so_far,B_end,F_end,A_end
1,0.1961958408355713,0,0,1.0,0.09762438202962109,0.05548917838471154,0.2959598949425707,0.09490694569916792
2,212.55875205993652,5,5,1.0,0.09503506122119791,0.05931131404419524,0.29175707404930723,0.0914359674741382
3,182.62934684753418,5,0,0.15980801,0.09282702841363598,0.05780824350513183,0.2743730538217664,0.08557199353248568
4,173.2050039768219,5,6,0.10000429,0.09073122117477483,0.06015498146368008,0.24877366529593628,0.08460123066106956
5,231.3331139087677,5,0,0.11946105,0.08950788813593771,0.060305640088880466,0.23682052739184645,0.08455529546450426
6,222.472177028656,5,5,0.07537478,0.08812773385034504,0.05945172098775304,0.2206507182467831,0.07912823309964978
7,173.56219601631165,5,0,0.17001449,0.08696621959165494,0.05935116343251143,0.2075835536439731,0.08272134033490354
8,125.07895112037659,5,5,0.12022697,0.08606528556454425,0.06074631649158508,0.19221985738443995,0.07678143095758604
9,214.3052580356598,5,0,0.3522474,0.08488099709374809,0.06196655818595568,0.18142456027091095,0.07777529879373427
10,213.34006190299988,5,5,0.2846216,0.08418389852297273,0.06537260003737554,0.17616617851468566,0.0801132638568941
11,144.89056491851807,5,0,0.5296533,0.08360851243961165,0.0655687091754327,0.17195945260838708,0.07777800880046694
12,160.90442895889282,5,6,0.42835596,0.08273506795901342,0.06852876616898128,0.1672740992213069,0.06974286800517626
13,175.12296605110168,5,0,2.7126255,0.0815487139395603,0.08432976339941445,0.19662207895503805,0.06717090756744913
