stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi,A_mean_so_far,B_end,F_end,A_end
0,1.6174445152282715,0,0,1.0,0.09874751602298759,0.0551495809582316,0.2935108086105356,0.09541632900790907
1,13.130393266677856,5,0,1.0,0.09528561327171865,0.058654630107984905,0.2830544787318165,0.08721462457488408
2,37.95063781738281,5,5,1.0,0.09305091722726218,0.06615350690892575,0.27771142528509657,0.08987451960301122
3,13.630975008010864,6,0,1.0,0.0913893232559313,0.0720200110635829,0.2746498502354137,0.08400080289184389
4,29.96640706062317,5,5,0.24468605665354995,0.09022488244048438,0.07369409848558708,0.26148701467686786,0.08415017907985295
5,13.948283910751343,6,0,1.0,0.08962541291357483,0.08027516157917028,0.25773036313084524,0.08622854822834775
6,28.2949001789093,6,5,0.24468605665354995,0.08852696316285699,0.08115001208004007,0.23610298991171338,0.08233802548737541
7,13.535625219345093,6,0,1.0,0.08776905309559742,0.08556076228815668,0.2374678678375834,0.07863401619602291
8,26.264179706573486,6,6,0.24468605665354995,0.08679288143108776,0.08557503405349293,0.2225601555904987,0.0774224873318022
9,13.958966493606567,6,0,1.0,0.08568289869944316,0.08622393917908393,0.21873989871826122,0.07439398418699565
10,23.369784355163574,7,6,0.24468605665354995,0.08449971396064233,0.08826666866862458,0.20365607985947431,0.07195759965104113
11,13.636453866958618,7,0,1.0,0.08337587962245287,0.09382834169545373,0.19909191847789812,0.06707736734552695
12,21.003791570663452,8,6,0.24468605665354995,0.08187571758901016,0.09491427843072442,0.18950884926463096,0.0610250109689013
13,14.409274101257324,6,0,1.0,0.08028672584941896,0.0976207559071139,0.19171237574824487,0.0578941567080147
