stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi,A_mean_so_far,B_end,F_end,A_end
0,1.6105012893676758,0,0,1.0,0.09874751602298759,0.0551495809582316,0.2935108086105356,0.09541632900790907
1,17.074193000793457,5,0,1.0,0.09528561327171865,0.058654630107984905,0.2830544787318165,0.08721462457488408
2,45.713778257369995,5,6,1.0,0.09305091722726218,0.06615350690892575,0.27771142528509657,0.08987451960301122
3,14.258510112762451,5,0,0.12344871415385221,0.0913938004326042,0.06662235419532105,0.2619556541494238,0.0840492115032513
4,32.46858191490173,5,5,0.12344871415385221,0.09024896685441938,0.06757403408915606,0.24788719257267663,0.08429677615680818
5,13.280899047851562,6,0,0.1313336360224153,0.08968140662397915,0.0687578558590853,0.23251142413866593,0.08651146930228469
6,38.10968327522278,6,6,0.1313336360224153,0.08862656793335542,0.06904750478487887,0.21143099806886073,0.08276759504769209
7,14.595904350280762,5,0,0.14132137927450727,0.08792041890112834,0.0683524807182135,0.2019226457028651,0.07921422877340033
8,35.11404061317444,6,5,0.14132137927450727,0.08700263842995261,0.06797835243496311,0.18821710606180264,0.07816929976076263
9,14.463272333145142,5,0,0.16723793208498317,0.0859540465631631,0.064208178394045,0.17503761151655192,0.0752864661725701
10,35.56577682495117,5,6,0.16723793208498317,0.08483423555399543,0.0658378173242938,0.1623137188094721,0.07298735622634293
11,13.164933919906616,5,0,0.13938518996109422,0.08377361062190253,0.06632282140372933,0.14878106301214944,0.06819880021796285
12,33.31389403343201,5,5,0.13938518996109422,0.08233196820054135,0.06698386497532344,0.14114975655920722,0.06220605006570379
13,11.602829694747925,6,0,0.3908463088911283,0.08079738490143563,0.0666450960279004,0.13781667754132218,0.059138694646694155
