T_total_days,step_minutes,mpc_baseline,lqg_mean_A,mpc_mean_A,lqg_F_viol,mpc_F_viol,lqg_compute_s,mpc_compute_min
14,15,0.08243972063064575,0.08295334875583649,0.09535764902830124,0.0,0.0,1.2639455795288086,124.03323621749878
14,60,,0.09456165879964828,,0.0,,1.709219217300415,
28,15,,0.09443584829568863,,0.0,,1.5416388511657715,
28,60,,0.10880075395107269,,0.0,,1.4095172882080078,
42,15,,0.14500653743743896,,0.0,,1.6298274993896484,
42,60,,0.1574304699897766,,0.0,,1.7367510795593262,
56,15,,0.27262064814567566,,0.0,,1.798813819885254,
56,60,,0.2958095073699951,,0.0,,1.7079336643218994,
84,15,,0.4257727265357971,,0.10230654761904762,,1.8586161136627197,
84,60,,0.4288625419139862,,0.0873015873015873,,1.710890531539917,
