wall_s,util_pct,mem_mb
0.04,0,4610
2.08,0,4623
4.13,0,4625
6.18,2,4617
8.23,0,4623
10.28,0,4622
12.33,0,4622
14.37,0,4613
16.42,6,4613
18.47,0,4613
20.52,0,4613
22.57,0,4613
24.61,0,5980
26.65,0,5980
28.69,0,5980
30.73,0,5980
32.78,0,6046
34.82,0,6046
36.86,0,6046
38.91,66,6078
40.95,72,6078
43.00,60,6078
45.05,63,6078
47.09,70,6078
49.13,70,6078
51.18,65,6078
53.22,66,6078
55.27,63,6078
57.31,63,6078
59.36,62,6078
61.40,58,6078
63.44,66,6078
65.49,66,6078
67.53,68,6078
69.57,71,6078
71.62,70,6078
73.66,69,6078
75.70,63,6078
77.74,71,6078
79.78,0,6078
81.82,29,6078
83.87,27,6078
85.91,24,6078
87.95,25,6078
90.00,24,6078
92.04,31,6078
94.08,30,6078
96.13,65,6078
98.17,66,6078
100.22,71,6078
102.26,71,6078
104.31,65,6078
106.35,60,6078
108.40,65,6078
110.44,64,6078
112.48,65,6078
114.53,0,6078
116.57,63,6078
118.62,70,6078
120.66,65,6078
122.70,66,6078
124.75,60,6078
126.79,71,6078
128.83,71,6078
130.88,65,6078
132.92,71,6078
134.96,42,6110
137.01,25,6110
139.05,38,6110
141.10,25,6110
143.14,45,6110
145.18,25,6110
147.22,22,6110
149.27,67,6110
151.31,72,6110
153.36,63,6110
155.40,67,6110
157.44,66,6110
159.49,66,6110
161.53,67,6110
163.58,66,6110
165.62,65,6110
167.67,63,6110
