t_days,A_mpc,A_base,cum_A_mpc,cum_A_base,F_mpc,B_mpc
0.0000,0.100384,0.100384,0.004183,0.004183,0.299180,0.051009
0.0417,0.101043,0.101043,0.008393,0.008393,0.298380,0.051609
0.0833,0.100167,0.100167,0.012566,0.012566,0.297603,0.052537
0.1250,0.098933,0.098933,0.016689,0.016689,0.296621,0.052614
0.1667,0.099032,0.099032,0.020815,0.020815,0.294177,0.053282
0.2083,0.097276,0.097276,0.024868,0.024868,0.291141,0.053632
0.2500,0.098330,0.098330,0.028965,0.028965,0.291263,0.054747
0.2917,0.098727,0.098727,0.033079,0.033079,0.292435,0.056033
0.3333,0.101130,0.101130,0.037293,0.037293,0.290960,0.056020
0.3750,0.101171,0.101171,0.041508,0.041508,0.290589,0.056176
0.4167,0.101881,0.101881,0.045753,0.045753,0.292220,0.056584
0.4583,0.102723,0.102723,0.050033,0.050033,0.291582,0.057123
0.5000,0.098326,0.098326,0.054130,0.054130,0.291702,0.057439
0.5417,0.099681,0.099681,0.058284,0.058284,0.290122,0.057594
0.5833,0.100502,0.100502,0.062471,0.062471,0.291291,0.058044
0.6250,0.100714,0.100714,0.066668,0.066668,0.292558,0.058345
0.6667,0.098518,0.098518,0.070772,0.070772,0.291114,0.059741
0.7083,0.099099,0.099099,0.074902,0.074902,0.292340,0.060330
0.7500,0.100075,0.100075,0.079071,0.079071,0.291966,0.060740
0.7917,0.099869,0.099869,0.083233,0.083233,0.291832,0.060563
0.8333,0.101775,0.101775,0.087473,0.087473,0.292265,0.062233
0.8750,0.098123,0.098123,0.091562,0.091562,0.292351,0.062044
0.9167,0.099917,0.099917,0.095725,0.095725,0.290829,0.062317
0.9583,0.100536,0.100536,0.099914,0.099914,0.291011,0.063848
1.0000,0.101612,0.101612,0.104148,0.104148,0.291734,0.065075
1.0417,0.100492,0.100492,0.108335,0.108335,0.293220,0.066302
1.0833,0.098498,0.098498,0.112439,0.112439,0.291224,0.066487
1.1250,0.098001,0.098001,0.116522,0.116522,0.288979,0.066856
1.1667,0.097898,0.097898,0.120601,0.120601,0.288710,0.067879
1.2083,0.096669,0.096669,0.124629,0.124629,0.287198,0.068420
1.2500,0.097685,0.097685,0.128700,0.128700,0.285601,0.070180
1.2917,0.098039,0.098039,0.132785,0.132785,0.283931,0.070569
1.3333,0.098654,0.098654,0.136895,0.136895,0.281455,0.071614
1.3750,0.097962,0.097962,0.140977,0.140977,0.281707,0.072348
1.4167,0.096413,0.096413,0.144994,0.144994,0.278481,0.073765
1.4583,0.096907,0.096907,0.149032,0.149032,0.278367,0.075068
1.5000,0.097160,0.097160,0.153080,0.153080,0.275957,0.075942
1.5417,0.097266,0.097265,0.157133,0.157133,0.272205,0.075282
1.5833,0.096544,0.096542,0.161156,0.161155,0.272439,0.075602
1.6250,0.098500,0.098496,0.165260,0.165259,0.271255,0.075550
1.6667,0.097714,0.097707,0.169331,0.169331,0.270053,0.076194
1.7083,0.097247,0.097236,0.173383,0.173382,0.270511,0.076387
1.7500,0.096287,0.096272,0.177395,0.177393,0.267516,0.077302
1.7917,0.096696,0.096676,0.181424,0.181422,0.265429,0.077411
1.8333,0.096091,0.096065,0.185428,0.185424,0.261999,0.077198
1.8750,0.093254,0.093222,0.189313,0.189309,0.260402,0.077127
1.9167,0.093372,0.093333,0.193204,0.193197,0.260085,0.076650
1.9583,0.093539,0.093493,0.197101,0.197093,0.257082,0.077258
2.0000,0.094589,0.094536,0.201043,0.201032,0.255358,0.077539
2.0417,0.095123,0.095061,0.205006,0.204993,0.252307,0.077160
2.0833,0.095451,0.095379,0.208983,0.208967,0.253271,0.078198
2.1250,0.096091,0.096010,0.212987,0.212967,0.251777,0.076824
2.1667,0.096658,0.096566,0.217014,0.216991,0.252348,0.076919
2.2083,0.096087,0.095984,0.221018,0.220990,0.246634,0.076073
2.2500,0.093186,0.093073,0.224901,0.224868,0.247104,0.075727
2.2917,0.093564,0.093439,0.228799,0.228762,0.244312,0.076055
2.3333,0.094741,0.094603,0.232747,0.232703,0.243490,0.076650
2.3750,0.093119,0.092970,0.236627,0.236577,0.242615,0.076577
2.4167,0.093991,0.093828,0.240543,0.240487,0.240216,0.076532
2.4583,0.095970,0.095790,0.244542,0.244478,0.238602,0.076493
2.5000,0.095790,0.095596,0.248533,0.248461,0.236373,0.075841
2.5417,0.095408,0.095200,0.252508,0.252428,0.235802,0.076684
2.5833,0.095668,0.095444,0.256495,0.256405,0.237217,0.077299
2.6250,0.095238,0.094999,0.260463,0.260363,0.237740,0.077491
2.6667,0.097621,0.097362,0.264530,0.264420,0.236827,0.077348
2.7083,0.096857,0.096582,0.268566,0.268444,0.236095,0.077058
2.7500,0.098590,0.098295,0.272674,0.272539,0.234200,0.076843
2.7917,0.097087,0.096775,0.276719,0.276572,0.233163,0.076806
2.8333,0.096492,0.096162,0.280740,0.280579,0.231131,0.076603
2.8750,0.095860,0.095513,0.284734,0.284558,0.230480,0.075449
2.9167,0.096261,0.095894,0.288745,0.288554,0.230381,0.075854
2.9583,0.093749,0.093367,0.292651,0.292444,0.227150,0.076173
3.0000,0.094316,0.093913,0.296581,0.296357,0.226970,0.075748
3.0417,0.095516,0.095091,0.300561,0.300319,0.226378,0.075752
3.0833,0.092467,0.092028,0.304414,0.304154,0.226482,0.075660
3.1250,0.091967,0.091508,0.308246,0.307967,0.223453,0.075615
3.1667,0.093678,0.093195,0.312149,0.311850,0.221453,0.075862
3.2083,0.092946,0.092443,0.316022,0.315702,0.221216,0.075082
3.2500,0.093246,0.092721,0.319907,0.319565,0.221112,0.075438
3.2917,0.095804,0.095250,0.323899,0.323534,0.220022,0.074904
3.3333,0.095578,0.095001,0.327881,0.327492,0.219868,0.075148
3.3750,0.094146,0.093550,0.331804,0.331390,0.219517,0.075272
3.4167,0.095313,0.094690,0.335775,0.335335,0.218776,0.074552
3.4583,0.096430,0.095779,0.339793,0.339326,0.215741,0.074465
3.5000,0.094042,0.093375,0.343711,0.343217,0.213324,0.075362
3.5417,0.093189,0.092502,0.347594,0.347071,0.213268,0.076166
3.5833,0.093520,0.092807,0.351491,0.350938,0.214531,0.075660
3.6250,0.092405,0.091672,0.355341,0.354758,0.215407,0.076135
3.6667,0.091992,0.091236,0.359174,0.358559,0.214400,0.076836
3.7083,0.090592,0.089817,0.362949,0.362302,0.211529,0.077311
3.7500,0.090942,0.090142,0.366738,0.366057,0.209815,0.076858
3.7917,0.090293,0.089471,0.370500,0.369785,0.209858,0.077079
3.8333,0.089442,0.088601,0.374227,0.373477,0.209653,0.077354
3.8750,0.089198,0.088333,0.377944,0.377158,0.208866,0.077815
3.9167,0.087696,0.086814,0.381598,0.380775,0.209238,0.078206
3.9583,0.089269,0.088355,0.385317,0.384456,0.209221,0.078128
4.0000,0.087719,0.086788,0.388972,0.388073,0.208320,0.077541
4.0417,0.085403,0.084460,0.392531,0.391592,0.206888,0.077109
4.0833,0.084372,0.083410,0.396046,0.395067,0.207172,0.077100
4.1250,0.084150,0.083165,0.399552,0.398532,0.207879,0.077435
4.1667,0.083681,0.082674,0.403039,0.401977,0.205791,0.078666
